Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     52.191      734.18],[     70.509      951.13],[     928.42      720.11],[     924.86      959.37],[     1801.7      769.49],[     1783.5      983.61],[     939.93      196.58],[     933.42      442.59],[     251.73      398.88],[     1627.8      416.26]
333.6666666666667,10,[     55.964      731.02],[      74.12       947.7],[     929.88      716.39],[     926.47      955.27],[     1801.6      765.36],[     1783.6      979.16],[     941.72       194.8],[     934.79      439.19],[     255.94      397.02],[     1627.4       413.6]
667.3333333333334,20,[     59.143      732.98],[     76.662      950.01],[     933.17      718.84],[     929.71      958.14],[     1805.5      767.85],[     1787.8      982.14],[     944.61      196.85],[     938.08      441.51],[     258.13      399.23],[     1631.5      416.12]
1001.0000000000001,30,[     55.984      735.84],[     74.093         953],[     931.94      721.62],[     928.43       961.2],[     1806.1      770.96],[     1787.8      985.36],[     943.81      197.99],[     936.88      443.91],[     256.37      400.46],[     1631.6      417.58]
1334.6666666666667,40,[      56.49      731.41],[     74.808      947.75],[     930.08      716.47],[     926.79      955.18],[       1802      765.43],[     1783.8      978.92],[     941.93      194.64],[     934.88      439.54],[     256.88      396.78],[     1627.3      412.96]
1668.3333333333335,50,[     57.445      732.12],[     75.506      948.62],[     931.29      717.84],[     927.91      956.65],[       1803      766.84],[     1785.1      980.55],[     942.99      195.97],[     936.08      440.89],[     257.41         398],[     1629.1      414.75]
2002.0000000000002,60,[     57.732      734.55],[      75.67      951.54],[     932.74      720.19],[     929.36      959.57],[     1806.1      769.34],[     1788.1      983.53],[      944.4      196.96],[     937.56      442.62],[     257.97      399.42],[     1631.5      416.14]
2335.6666666666665,70,[     56.279      731.96],[     74.311      949.09],[     930.74      717.01],[     927.41      956.29],[       1804      765.84],[     1785.8      979.97],[     942.54      194.97],[      935.6       439.1],[     256.63      397.79],[     1628.5      413.83]
2669.3333333333335,80,[     57.523      730.48],[      76.06      946.76],[     930.49      715.24],[     927.31      953.83],[     1802.2      764.03],[     1783.9      977.35],[     942.52      193.96],[     935.17      438.25],[     258.47      396.19],[       1627      411.95]
3003.0,90,[      59.21      731.86],[     77.534      948.52],[     932.88      716.96],[     929.63      955.88],[     1805.4      765.84],[     1787.3      979.55],[     945.16      194.96],[     937.57      439.57],[     260.14      397.45],[     1630.9      413.53]
3336.666666666667,100,[     59.158      732.47],[     77.588      949.08],[      932.9      717.48],[     929.72      956.46],[     1805.7      766.37],[     1787.6      980.07],[      945.2      195.31],[     937.48      440.15],[     260.46       397.8],[       1631      413.75]
3670.3333333333335,110,[     57.807      730.19],[     76.309      946.88],[      931.2      714.75],[     928.08      953.63],[     1803.6      763.26],[     1785.4      976.88],[     943.19      193.39],[     935.81      437.23],[     258.63      396.16],[     1628.3      411.55]
4004.0000000000005,120,[     59.667      730.93],[     78.441      947.09],[     932.45      715.39],[     929.44      953.92],[     1804.8      764.16],[     1786.5      977.29],[     945.13      193.73],[      936.9      438.29],[     261.66       396.2],[     1629.8      411.51]
4337.666666666667,130,[      59.79      732.33],[     78.244      948.88],[     933.58      717.08],[     930.33      955.79],[     1806.8      765.97],[     1788.4      979.39],[     945.82      195.07],[     938.33       439.5],[     260.61      397.81],[     1631.4      413.49]
4671.333333333333,140,[     59.385      729.99],[     77.922      946.42],[     932.75      714.66],[     929.55      953.16],[     1805.4       763.3],[       1787      976.53],[     944.58      193.24],[     937.46      437.21],[      259.7      395.99],[     1629.7      411.41]
5005.0,150,[     59.672      732.59],[     78.024      949.29],[     933.34      717.43],[     930.05       956.2],[     1806.2      766.17],[     1787.8      979.71],[     945.08      195.65],[     938.14      439.85],[     259.69      398.42],[     1630.5      414.16]
5338.666666666667,160,[     60.944      732.07],[     79.372      948.69],[     934.43      716.76],[     931.19      955.48],[     1807.3      765.57],[     1788.8      979.02],[     946.54      195.22],[     939.21      439.21],[     261.84      397.94],[     1631.4      413.56]
5672.333333333333,170,[     61.984      729.41],[     80.538      945.78],[      934.9      713.91],[     931.76      952.43],[     1807.5      762.69],[     1789.1      975.91],[     946.73       192.9],[     939.59       436.5],[     262.96      395.63],[       1631      410.87]
6006.0,180,[     62.028      730.85],[     80.371      947.43],[     935.65      715.66],[     932.42      954.47],[     1809.1      764.51],[     1790.6      977.98],[     947.13      193.66],[     940.38      438.12],[     262.28      396.41],[     1632.5      411.95]
6339.666666666667,190,[     62.402      733.47],[      80.85      949.97],[     936.01      718.18],[     932.85      957.08],[     1809.9      767.32],[     1791.4       980.8],[     948.32      195.62],[     940.64      440.71],[     263.86      398.34],[     1633.9      413.94]
6673.333333333334,200,[     62.672      730.51],[     81.011      947.03],[     935.97      715.55],[     932.71      954.36],[     1809.6       764.7],[       1791       978.2],[     947.81      193.99],[     940.69      438.17],[     263.31      396.55],[     1633.2      412.38]
7007.000000000001,210,[     62.465      730.26],[     80.748      946.48],[     935.85      714.79],[     932.61      953.22],[       1809      763.53],[     1790.5      976.65],[     947.22      192.99],[      940.7      437.56],[     262.06      395.73],[     1632.5         411]
7340.666666666667,220,[     62.378      731.91],[     80.568      948.58],[     936.14      717.02],[     932.78       955.9],[       1810      766.25],[     1791.5      979.87],[     948.19      195.16],[     941.01       439.5],[     262.74      397.78],[       1634      413.85]
7674.333333333334,230,[     63.105      732.08],[      81.28      948.67],[     937.15      717.09],[     933.73      955.87],[       1811      766.17],[     1792.3       979.7],[     948.76      195.29],[     942.15      439.67],[     262.92      397.89],[     1634.5      413.88]
8008.000000000001,240,[     62.097       729.7],[     80.158      946.31],[     935.92      714.94],[     932.48      953.83],[     1810.3       764.5],[     1791.6      978.12],[     947.78      192.73],[     940.92      437.32],[     262.39      395.28],[     1633.5      411.49]
8341.666666666666,250,[      62.41      730.57],[     80.676      947.02],[     936.02       715.9],[      932.5      954.58],[     1809.7      765.36],[     1790.7      978.78],[     947.61      194.38],[     941.07      438.74],[     261.94      396.63],[     1633.1      413.08]
8675.333333333334,260,[     62.807      732.97],[     81.327      949.34],[     936.59      718.11],[     933.21      956.91],[     1810.5      767.69],[     1791.6       981.1],[     948.83      196.04],[     941.47      440.97],[     264.19      398.24],[     1633.9      414.57]
9009.0,270,[     62.182      731.58],[     80.532      948.01],[     935.96       716.9],[     932.55      955.71],[     1810.2      766.74],[     1791.4      980.22],[     948.46      194.85],[     940.88      439.58],[     263.75      397.11],[     1633.8      413.59]
9342.666666666666,280,[      61.95      730.19],[      80.07      946.49],[     935.86      715.47],[     932.34       954.1],[     1810.1       765.2],[     1791.1      978.55],[      947.7      193.68],[        941      438.35],[     262.27      395.92],[       1633      412.34]
9676.333333333334,290,[     62.497      732.11],[     81.087       948.4],[     936.16      717.34],[     932.82      956.08],[     1810.1      767.07],[     1791.3      980.42],[     948.79      195.03],[     940.95      440.17],[     264.36      397.25],[     1634.1      413.63]
10010.0,300,[      62.64       732.7],[     80.909      949.18],[     936.69      718.08],[      933.2       956.8],[     1810.7      767.68],[     1791.9      981.14],[     948.69      196.12],[     941.73      440.75],[     263.17      398.45],[     1634.3      414.95]
10343.666666666668,310,[     62.151      730.82],[     80.325      947.32],[     935.97      716.41],[      932.4      955.22],[     1809.9      766.33],[       1791      979.89],[     948.12      194.76],[     941.06      439.18],[     263.04      396.84],[     1633.2       413.7]
10677.333333333334,320,[     61.862      730.62],[     79.807      947.39],[     936.07      716.19],[      932.5      955.27],[     1810.7       766.1],[     1791.8      979.93],[     948.11       194.3],[      941.2      438.67],[      262.5       396.6],[     1633.7       413.4]
11011.000000000002,330,[     62.089      732.14],[     80.045      949.09],[     936.35      717.88],[     932.78      957.07],[     1810.9      767.85],[     1792.2      981.83],[     948.78      195.78],[     941.42      440.14],[     263.09      398.16],[     1634.7      415.14]
11344.666666666666,340,[     61.813      731.39],[     79.651      948.35],[     935.99      717.17],[     932.38      956.31],[     1810.6      767.23],[       1792      981.21],[     948.38      195.22],[     941.14      439.37],[     262.55      397.65],[     1634.3      414.67]
11678.333333333334,350,[     61.317      729.93],[     78.896      947.16],[     936.23      715.85],[     932.48      955.04],[     1811.2      765.67],[     1792.4      979.79],[     947.75      194.14],[     941.58      437.85],[      260.6      396.74],[     1634.1      413.81]
12012.0,360,[      61.76      730.22],[     78.852      947.83],[      936.4      716.44],[     932.53      955.81],[     1811.2      766.51],[     1792.7      981.01],[     948.21      195.57],[     941.92       438.1],[     260.91      398.27],[     1634.4      415.73]
12345.666666666668,370,[     61.938      731.57],[     79.275      949.06],[     936.53      717.71],[     932.68      957.07],[     1811.2      767.85],[     1792.6      982.23],[     948.46      196.14],[     941.98      439.46],[     261.32      398.73],[     1634.6      416.23]
12679.333333333334,380,[     60.959       730.2],[     78.347      947.75],[     935.92      716.41],[     932.05      955.72],[     1810.7      766.34],[       1792      980.73],[     947.53      195.06],[     941.39       438.1],[     259.82      397.75],[     1634.1      415.19]
13013.0,390,[     61.467      729.48],[     78.542      947.13],[     936.08      715.83],[     932.18      955.19],[     1810.3      765.61],[     1791.9      980.11],[     947.68      194.76],[     941.55      437.59],[     259.99      397.34],[     1634.1       414.9]
13346.666666666668,400,[     61.529      731.64],[     78.862      949.02],[     936.29      717.86],[     932.55      957.27],[       1811      767.88],[     1792.8      982.29],[     949.27       195.7],[     941.51      439.85],[     262.04      398.14],[     1636.4       415.7]
13680.333333333334,410,[     61.438      731.27],[     78.599      948.65],[     935.74      717.38],[     932.01      956.72],[     1810.2      767.44],[     1792.2      981.86],[     948.49       195.7],[     941.01      439.25],[     261.53       398.3],[     1635.2      415.66]
14014.000000000002,420,[     62.416      729.37],[     79.287      946.94],[     936.55      715.77],[     932.85      955.18],[     1810.7      765.54],[     1793.1      980.16],[      949.1       194.6],[     941.74      437.54],[      262.1      397.26],[     1636.3      414.62]
14347.666666666668,430,[     62.822      729.08],[     79.428      946.92],[     937.48      715.77],[     933.66      955.25],[     1811.8      765.55],[     1794.2      980.38],[     950.19       194.9],[      942.8      437.22],[      262.6      397.58],[     1637.5      415.24]
14681.333333333334,440,[     62.763      730.17],[     79.252      947.99],[     937.28      716.92],[     933.47      956.34],[     1811.5      766.56],[       1794      981.38],[     949.77      196.08],[     942.59      438.39],[     261.99      398.87],[     1637.4      416.45]
15015.0,450,[     62.629      729.27],[     79.431      947.01],[      937.1      715.88],[     933.36      955.24],[     1811.1      765.51],[     1793.5      980.19],[     949.73      194.84],[     942.32      437.35],[     262.32      397.56],[       1637      415.04]
15348.666666666668,460,[     62.424      728.77],[     79.279      946.52],[     937.24      714.99],[     933.56      954.28],[     1811.2      764.25],[     1793.6      978.86],[     949.25      194.49],[     942.48      436.44],[     261.97      397.48],[       1636      414.43]
15682.333333333334,470,[     61.336      729.39],[     77.891      947.33],[     935.75      715.91],[     931.95      955.36],[     1810.2      765.72],[     1792.6      980.56],[     948.04       195.4],[     941.15      437.03],[     260.71       398.5],[       1635      415.83]
16016.000000000002,480,[      56.86      730.25],[     74.086      948.04],[     931.82      716.46],[     928.07      955.72],[       1806      766.23],[     1788.1      980.79],[     944.05      195.37],[     937.18       437.5],[     256.62      398.53],[     1630.7      415.71]
16349.666666666668,490,[     57.177      728.46],[     73.767      946.53],[     932.33      714.92],[     928.36      954.21],[     1806.7      764.66],[     1788.9      979.46],[     944.24      194.44],[     938.04      435.66],[     255.89      397.72],[     1630.9      415.11]
16683.333333333332,500,[     56.275      729.52],[     73.203      947.47],[     931.53      715.68],[     927.64      954.96],[     1805.8      765.27],[     1787.8      979.96],[     943.52      194.96],[     937.16      436.57],[     255.26      398.23],[     1630.1      415.42]
17017.0,510,[     55.765      730.88],[     72.789      949.02],[     931.34      717.08],[     927.43      956.57],[       1806      766.66],[     1787.9      981.54],[     943.34      196.13],[     936.93      437.84],[     254.78      399.48],[     1630.3      416.76]
17350.666666666668,520,[     55.551      730.21],[     72.158      948.86],[     931.84      716.93],[     927.75      956.88],[     1807.2      766.74],[     1789.1      982.18],[     943.71      195.76],[     937.58      437.31],[     254.04      399.13],[     1631.5      417.04]
17684.333333333336,530,[     55.637      729.39],[     72.045      948.12],[      931.8      716.12],[     927.72      956.13],[       1807      765.89],[     1789.1      981.39],[     943.39      195.08],[     937.55      436.52],[     253.79      398.51],[     1631.1      416.35]
18018.0,540,[     56.025      730.14],[     72.778      948.53],[     931.96      717.04],[     927.93      956.87],[     1807.4      767.23],[     1789.4      982.51],[      944.2      195.85],[      937.6      437.61],[     255.39      399.08],[     1631.9      417.13]
18351.666666666668,550,[     56.066       731.3],[     73.058      949.39],[     932.38      717.77],[     928.36      957.37],[     1808.3      767.95],[     1789.9      982.85],[     943.99      195.72],[     938.11      438.44],[     254.61      399.04],[     1631.7      416.71]
18685.333333333332,560,[     55.902      729.92],[     72.598      948.41],[     932.49      716.22],[      928.4      956.19],[     1808.8      766.23],[     1790.4      981.54],[     943.66      194.23],[     938.37      436.61],[     253.52      397.82],[     1631.6      415.38]
19019.000000000004,570,[     56.364      729.89],[     73.126      948.01],[     931.95      715.92],[     927.97      955.52],[     1807.5      765.75],[     1789.1      980.65],[     942.94      194.54],[     937.76      436.66],[     253.98      398.05],[     1629.9      415.16]
19352.666666666668,580,[     54.921      731.06],[     71.699       949.6],[     931.66      717.29],[     927.59      957.23],[       1808      767.24],[     1789.5      982.52],[     942.88      195.46],[     937.51      437.56],[     252.87      399.14],[     1630.6      416.61]
19686.333333333332,590,[     56.125      730.22],[     72.811      948.42],[     931.65      716.75],[     927.58       956.4],[     1807.4      766.93],[     1789.1      981.96],[     943.23      195.45],[     937.45       437.4],[     254.02      398.83],[     1630.8       416.5]
20020.0,600,[     55.004      729.29],[     71.606      948.04],[     931.95      715.81],[     927.86      955.99],[       1809      765.94],[     1790.6      981.45],[     943.12      193.66],[     937.77      435.86],[     252.71      397.42],[     1631.6      415.08]
20353.666666666668,610,[     55.195      730.34],[     71.776      948.84],[     931.71      716.54],[     927.65      956.42],[       1808      766.43],[     1789.7      981.65],[      942.7      194.44],[     937.59       436.8],[     252.45      398.24],[     1630.8      415.55]
20687.333333333336,620,[     56.044      730.83],[     72.619      949.51],[     932.45      717.34],[     928.39      957.38],[     1808.9       767.4],[     1790.7       982.8],[      943.4      195.53],[     938.23      437.49],[     253.53      399.36],[     1631.5       416.9]
21021.0,630,[     56.644      729.66],[     73.163       948.3],[     932.77      716.34],[     928.67      956.38],[     1809.1      766.55],[     1790.8      981.99],[     944.23      195.05],[     938.57      436.66],[     254.62      398.59],[     1632.1      416.43]
21354.666666666668,640,[     56.828      730.11],[     73.462      948.49],[     932.84      716.43],[      928.8       956.3],[       1809       766.4],[     1790.6      981.57],[     943.86      194.72],[     938.63      437.03],[     254.18      398.27],[     1631.7      415.71]
21688.333333333336,650,[     56.157      730.83],[     72.674      949.38],[      932.4      717.46],[     928.35      957.49],[     1808.9      767.77],[     1790.7      983.17],[     944.18      195.62],[     938.16      437.81],[     254.81      399.16],[     1632.1      416.94]
22022.000000000004,660,[     57.715      731.66],[     74.701      949.58],[     933.46      718.25],[     929.48      957.95],[     1809.2      768.53],[     1790.8      983.43],[     945.47      195.93],[     939.05      439.35],[     256.81      398.89],[     1633.2      416.74]
22355.666666666668,670,[     58.452      731.52],[     75.434      949.38],[     934.02      717.87],[     930.16      957.43],[       1809       767.5],[     1790.8      982.25],[     945.36      195.67],[     939.48      439.21],[     256.72      398.74],[     1633.1      416.07]
22689.333333333332,680,[       58.7      732.15],[     75.641      950.24],[     935.06      718.41],[     931.23      958.01],[     1810.7      767.85],[     1792.5      982.66],[     946.53      196.04],[     940.53      439.27],[     257.45      399.47],[     1634.5      416.59]
23023.0,690,[     61.348      731.94],[     77.919       950.2],[     936.87      718.64],[     933.06      958.41],[     1812.4      768.47],[     1794.6      983.54],[     949.22      196.87],[     942.23      439.36],[      261.2      400.19],[       1637      417.68]
23356.666666666668,700,[     61.328      732.56],[     78.193      950.32],[     937.02      718.67],[     933.26      958.01],[     1812.4      768.33],[     1794.5      982.88],[     949.34      196.53],[     942.44      439.76],[     261.09      399.84],[     1636.9      416.84]
23690.333333333336,710,[     61.337      731.77],[     78.127      949.64],[     936.92      718.14],[     933.12      957.59],[     1812.4      767.79],[     1794.4      982.51],[     949.32      196.34],[     942.34      439.22],[     261.05      399.53],[       1637      416.75]
