Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     222.54      811.28],[     217.44      998.44],[     999.41      787.19],[     993.18      996.98],[       1850      836.18],[     1839.4      1031.3],[     1015.5      291.37],[     1021.4      520.08],[     399.12      502.13],[     1666.9      485.88]
333.6666666666667,10,[     224.42      810.85],[     219.11      997.94],[     1000.3      787.21],[     994.05      997.09],[     1850.5      836.65],[       1840      1031.9],[     1016.3      291.58],[     1022.1      519.91],[     401.08      502.16],[     1667.6      486.24]
667.3333333333334,20,[     224.02      810.59],[     218.53      998.11],[       1001      787.26],[      994.6       997.4],[     1851.7      836.73],[     1841.3      1032.4],[       1017      291.88],[       1023       519.5],[      400.3      502.52],[     1668.9      487.06]
1001.0000000000001,30,[     222.86      810.84],[     217.53      998.53],[     1000.3      786.83],[     993.82       996.9],[     1850.9       835.7],[     1840.3      1031.2],[     1016.5      291.64],[     1022.5      519.37],[     399.05      502.34],[     1667.8       486.4]
1334.6666666666667,40,[     208.21      811.48],[      213.5      1005.1],[     1010.4      785.26],[       1006       997.4],[     1837.1      828.17],[       1828      1020.8],[     1021.2      295.11],[     1025.4      526.71],[     384.64      497.97],[     1661.5      490.96]
1668.3333333333335,50,[     200.04      802.74],[      215.4      1005.8],[     1015.3      784.52],[     1013.2      1007.1],[     1825.9      824.44],[     1812.6      1023.1],[     1025.8      296.55],[       1019      525.24],[     383.61      488.89],[     1666.5      498.37]
2002.0000000000002,60,[     199.62      802.46],[     214.66      1005.9],[     1015.3      784.64],[       1013      1007.4],[     1825.9      824.74],[     1812.8      1023.7],[     1025.7      296.83],[     1019.1      524.93],[     382.98      489.18],[     1666.5      499.09]
2335.6666666666665,70,[     198.64      802.48],[     213.86      1005.8],[     1014.8      784.43],[     1012.6        1007],[     1825.8      824.68],[     1812.6      1023.3],[     1025.5      295.74],[     1018.7      524.64],[     382.28      488.18],[     1666.6      498.01]
2669.3333333333335,80,[     199.25      802.47],[     214.51      1005.7],[     1015.1      784.35],[     1012.9      1006.8],[     1825.8       824.5],[     1812.4        1023],[     1025.8      295.72],[       1019      524.58],[     382.64      488.15],[     1666.9      497.93]
3003.0,90,[      199.7      802.87],[     214.99        1006],[     1015.3      784.73],[     1013.1      1007.3],[     1826.1      824.93],[     1812.8      1023.5],[     1026.2      295.76],[     1019.1       525.2],[     382.99      488.07],[     1667.5      497.86]
3336.666666666667,100,[     198.61      803.01],[     213.95      1006.1],[     1014.3       784.7],[     1012.1        1007],[     1824.6      824.56],[     1811.1      1022.8],[     1024.9      296.05],[     1018.2         525],[     381.42      488.56],[       1666      498.15]
3670.3333333333335,110,[     198.65         803],[     213.88      1006.4],[     1014.8      784.89],[     1012.6      1007.4],[     1825.6      824.66],[     1812.3      1023.3],[     1025.3      296.81],[     1018.7      525.02],[     381.71      489.48],[     1666.7      499.13]
4004.0000000000005,120,[     199.32      803.29],[     214.79      1006.1],[     1015.6      784.47],[     1013.4      1006.6],[       1826         824],[     1812.2      1021.9],[     1025.1      295.15],[     1019.7      525.26],[        381      487.73],[     1666.1      496.85]
4337.666666666667,130,[     196.65         802],[     211.27      1004.4],[       1013      782.97],[     1010.3      1005.8],[     1827.7      823.38],[     1813.4        1022],[     1023.3      294.04],[     1017.6      524.43],[     378.68      486.63],[     1666.4       496.1]
4671.333333333333,140,[      196.6      801.75],[     211.01      1004.2],[     1012.8      782.74],[     1010.2      1005.5],[     1827.8      823.25],[     1813.6        1022],[     1023.1      294.33],[     1017.5      523.97],[     378.72      487.05],[     1666.1      496.43]
5005.0,150,[     199.35      802.45],[     214.55      1005.8],[     1015.4      784.33],[     1013.2      1007.1],[     1826.2      824.28],[     1812.8      1023.1],[     1025.8      295.56],[     1019.3      524.89],[     382.14      487.91],[     1667.1      497.75]
5338.666666666667,160,[     199.21      803.72],[      214.6      1006.8],[     1014.9       785.3],[     1012.8      1007.6],[     1825.1      824.66],[     1811.6        1023],[       1025      297.11],[     1018.8      525.77],[     381.41      489.74],[     1666.2         499]
5672.333333333333,170,[     198.31      803.41],[     213.95      1006.3],[     1014.2      784.78],[     1012.2        1007],[     1824.6       824.2],[       1811      1022.2],[     1024.5      296.12],[     1017.9      525.27],[     381.28      488.75],[     1665.6      497.83]
6006.0,180,[     199.33      803.12],[     214.85      1006.1],[       1015      784.78],[     1012.8      1007.2],[     1825.4      824.48],[     1811.8      1022.8],[     1025.5      296.32],[     1018.7      525.46],[      382.6      488.66],[     1666.6      498.13]
6339.666666666667,190,[      199.9      802.78],[      215.3      1005.9],[     1015.1      784.56],[     1012.9      1007.1],[     1825.4      824.33],[       1812        1023],[     1025.6      296.42],[     1018.9      525.34],[     382.86      488.64],[     1666.6      498.25]
6673.333333333334,200,[     198.94      803.45],[     214.48      1006.5],[     1014.5      785.01],[     1012.5      1007.4],[     1824.9      824.35],[     1811.5      1022.8],[       1025       297.3],[     1018.1      525.59],[     382.32      489.93],[     1666.2      499.07]
7007.000000000001,210,[     198.82      802.91],[     214.18      1006.2],[     1015.4      784.07],[     1013.2      1006.5],[     1825.5      823.17],[     1811.9      1021.5],[     1024.9      295.58],[     1019.4      524.54],[     380.61      488.41],[     1665.9      497.45]
7340.666666666667,220,[     197.59      801.95],[     212.14      1004.1],[     1013.9      782.77],[     1011.2      1005.3],[     1828.6       823.3],[     1814.4      1021.7],[     1024.1      294.01],[     1018.6      524.33],[     379.54      486.62],[     1667.1      495.94]
7674.333333333334,230,[     197.45      802.31],[     211.95      1004.4],[     1013.2      783.06],[     1010.5      1005.5],[     1827.4       823.4],[     1813.2      1021.8],[     1023.1      295.12],[     1017.9      524.73],[     378.94      487.76],[     1665.5       496.9]
8008.000000000001,240,[     198.48      803.07],[     213.55      1006.6],[     1014.7      784.86],[     1012.5      1007.5],[     1825.4      824.32],[     1812.1      1023.2],[     1024.7       297.3],[     1018.6      525.07],[     380.72      490.11],[       1666       499.6]
8341.666666666666,250,[     199.04       803.4],[     214.43      1006.5],[     1015.1      784.98],[     1012.9      1007.3],[     1825.5      824.68],[     1811.7      1022.9],[     1025.4      296.33],[     1019.1      525.28],[     381.18      488.94],[     1666.7      498.52]
8675.333333333334,260,[     199.09      803.72],[     214.65      1006.7],[     1015.1      785.27],[     1012.9      1007.5],[     1825.2      824.94],[     1811.4        1023],[     1025.6       296.6],[     1019.1      525.64],[     381.68      489.04],[     1666.6      498.67]
9009.0,270,[     199.16      803.37],[     214.55      1006.4],[     1014.3       785.1],[     1012.1      1007.5],[     1824.4      824.99],[     1810.9      1023.4],[       1025      296.51],[     1018.1       525.8],[     381.97      488.72],[     1665.8      498.42]
9342.666666666666,280,[     199.14      803.41],[     214.69      1006.4],[     1014.7       784.8],[     1012.6      1007.3],[     1824.9      824.26],[     1811.5      1022.6],[     1025.2      296.11],[     1018.3      525.51],[     382.08      488.61],[     1666.4       497.8]
9676.333333333334,290,[     199.56      802.99],[     215.05      1005.9],[     1014.9      784.48],[     1012.8      1006.9],[     1825.1      824.05],[     1811.7      1022.5],[     1025.5      295.83],[     1018.6      525.33],[     382.67      488.16],[     1666.7      497.49]
10010.0,300,[      198.7      802.56],[     213.89      1006.1],[     1014.6       784.4],[     1012.4        1007],[       1825      823.76],[     1811.6      1022.6],[     1024.6      297.68],[     1018.4      524.63],[     381.34      490.49],[     1665.6       499.9]
10343.666666666668,310,[     196.41      801.73],[     211.37        1004],[     1013.1      782.54],[     1010.4      1005.1],[     1827.7      822.93],[     1813.2      1021.4],[     1023.6      294.25],[     1017.7      524.16],[     379.21       486.9],[     1666.2      496.32]
10677.333333333334,320,[     197.15      801.59],[     211.76      1003.8],[     1013.5      782.36],[     1010.8      1004.8],[     1828.1      822.68],[     1813.6        1021],[     1023.3      294.04],[     1018.3      523.64],[     378.29      486.84],[     1666.1      496.08]
11011.000000000002,330,[     198.79      802.37],[     213.93        1006],[     1015.2      784.07],[       1013      1006.7],[     1825.6      823.42],[     1812.2      1022.2],[       1025      296.69],[     1019.2      524.26],[     380.98      489.51],[     1666.1      498.96]
11344.666666666666,340,[     199.09      803.03],[      214.3      1006.2],[     1014.7       784.7],[     1012.4      1007.1],[     1824.8       824.1],[     1811.3      1022.7],[     1024.5      296.85],[     1018.6      525.32],[     380.68       489.4],[     1665.6      498.82]
