Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     130.69      720.31],[     155.72      916.65],[     955.73      699.23],[     952.88      918.56],[       1761      736.26],[     1732.9       929.9],[     956.02      211.97],[      961.9      448.34],[     311.48      404.59],[     1586.6      413.94]
333.6666666666667,10,[     130.65      720.68],[     157.26      917.06],[     958.32      698.92],[     955.65      918.47],[     1769.6      736.08],[     1743.5      928.27],[     956.27      210.35],[     964.25      447.04],[     311.12      404.43],[     1595.8      412.35]
667.3333333333334,20,[     130.73      720.74],[     155.69      916.48],[      955.4      699.77],[     952.41      918.61],[     1760.6      736.84],[     1731.8      930.14],[     955.77      212.58],[     961.77      449.42],[     311.08      404.72],[     1585.8      414.46]
1001.0000000000001,30,[     130.24       720.7],[     155.02      916.31],[     954.53      700.35],[     951.41      919.08],[     1759.9      738.07],[       1731      931.28],[     955.63       212.4],[     960.98      450.15],[     310.55      403.98],[     1586.2      414.59]
1334.6666666666667,40,[     130.34      720.61],[     154.79      916.58],[     954.49      700.91],[     951.27      919.89],[     1759.9      739.19],[     1731.5      932.78],[     956.55      212.28],[     960.95      450.33],[     311.12      403.87],[     1587.9      415.21]
1668.3333333333335,50,[     129.01      720.59],[      155.3      917.06],[        956       699.7],[     953.28       919.6],[     1777.7      738.61],[     1750.9      930.79],[     955.38       209.4],[     961.65      447.22],[     309.76      403.95],[     1603.3      413.08]
2002.0000000000002,60,[     128.91       720.9],[     155.91      916.81],[     956.99       698.7],[     954.33       918.2],[     1765.9      736.08],[     1742.8      927.62],[     955.75      208.71],[     962.82      446.97],[     309.68      403.49],[       1598      410.98]
2335.6666666666665,70,[     129.94      721.03],[     155.48      916.56],[     955.25      699.64],[     952.34      918.11],[     1758.5      736.57],[     1731.2      928.98],[     955.12      211.94],[     961.53      449.51],[     309.79      404.68],[     1587.1      413.69]
2669.3333333333335,80,[     130.12      721.18],[     155.36      916.73],[     955.09       700.3],[     952.09      918.92],[     1758.1      737.83],[     1730.8      930.53],[     956.05      211.52],[     961.38      450.26],[      310.5      403.95],[     1587.6       413.8]
3003.0,90,[     130.07      721.16],[     156.05      916.54],[     955.86      698.68],[     953.16      917.33],[     1758.1      734.69],[       1730      927.23],[     954.89      211.39],[     962.06      448.76],[     310.35      404.13],[     1583.6      412.09]
3336.666666666667,100,[     130.25      721.13],[     156.17      916.34],[     955.83      698.72],[      953.1      917.29],[       1758       734.9],[     1729.8      927.35],[     955.11         211],[     962.03      449.09],[     310.54      403.58],[     1583.6      411.74]
3670.3333333333335,110,[     131.11      721.54],[     156.69       916.5],[     955.08      700.02],[      952.2      918.27],[     1757.4      737.07],[     1729.3      929.25],[      955.2       212.1],[      961.3      450.75],[     311.06      404.07],[     1584.6      413.27]
4004.0000000000005,120,[     131.08      722.11],[      157.3      917.05],[     956.25      699.27],[     953.54      917.55],[     1756.8       734.7],[     1728.2      926.87],[      954.2      212.77],[     962.61      449.72],[     310.55      404.91],[     1580.7      412.49]
4337.666666666667,130,[     130.17      720.47],[     155.88      916.04],[     955.32      698.52],[     952.52      917.25],[     1757.4      734.74],[     1729.3      927.55],[     954.63      211.55],[     961.58      448.34],[     310.53      404.04],[     1583.1      412.51]
4671.333333333333,140,[     129.88      721.39],[     155.72      916.47],[     954.54      699.37],[     951.79      917.76],[     1756.8      735.87],[     1728.8      928.22],[     954.33      212.07],[     960.68      449.84],[     310.44      404.56],[     1583.3      413.08]
5005.0,150,[     128.02       721.5],[      153.1      916.87],[      952.4      701.15],[     949.28      919.65],[     1755.6      739.03],[     1728.1      931.79],[     954.09      212.59],[     958.75      451.22],[     308.77      404.57],[     1585.5      415.11]
5338.666666666667,160,[     126.31      722.19],[     152.21      917.18],[     951.47      700.41],[     948.63      918.83],[     1754.2      737.11],[       1726      929.47],[     951.35      212.61],[     957.71      450.77],[     306.94      404.76],[     1580.6      413.68]
5672.333333333333,170,[     126.71      720.89],[     152.51      916.46],[     952.12      699.11],[     949.38      918.03],[     1755.1       735.7],[     1727.3      928.66],[     952.51      211.72],[      958.2      448.82],[     308.54      404.39],[     1581.8      413.12]
6006.0,180,[      126.9       722.1],[     152.79      916.93],[     951.77      700.43],[     948.91      918.72],[     1754.3      737.31],[     1726.2      929.55],[     952.18      212.56],[     957.99      450.96],[     307.79      404.65],[     1581.7      413.77]
6339.666666666667,190,[     126.76      721.01],[     151.77      916.65],[     951.52      700.78],[     948.37      919.54],[     1754.7      738.61],[     1727.2       931.7],[     953.32      212.37],[     957.91      450.42],[     307.83      404.36],[     1584.5      415.01]
6673.333333333334,200,[     126.87      722.19],[     153.26      916.93],[     952.03      699.75],[     949.36      918.15],[     1753.9      736.08],[     1725.6      928.26],[     952.07      211.88],[     958.12      450.32],[     308.58      404.02],[     1580.1      412.32]
7007.000000000001,210,[     127.18      721.97],[     153.41      916.82],[     951.96      699.62],[     949.27      918.03],[     1753.4      735.81],[     1725.2      928.14],[     952.11      212.41],[     958.06      450.08],[     309.02      404.61],[     1579.7      412.89]
7340.666666666667,220,[     126.95      721.13],[     152.25      916.28],[     951.13       700.7],[     948.04      919.15],[       1754      738.62],[     1726.4      931.22],[     953.06      211.93],[     957.45      450.92],[     308.14      403.57],[       1584      414.14]
7674.333333333334,230,[     127.07       721.1],[     152.47      916.36],[     951.65      700.41],[     948.62      918.93],[     1754.3      737.97],[     1726.6      930.64],[     953.11      212.34],[     957.95      450.52],[     308.26      404.12],[     1583.5      414.29]
