Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     78.739      717.38],[     102.88      920.78],[     927.29       698.4],[     924.03      924.32],[     1757.4      737.22],[     1726.3       937.7],[     924.36      201.93],[     933.82      438.93],[     259.97      399.56],[     1570.9      411.14]
333.6666666666667,10,[     79.259      717.66],[     103.07      921.17],[     928.47      699.39],[     925.05      925.46],[     1759.8      739.12],[       1729      939.72],[     926.37      201.01],[     935.06      439.86],[     260.37      398.61],[     1575.1       411.2]
667.3333333333334,20,[     80.023      716.45],[     103.69      920.26],[     928.91       698.6],[     925.47       924.9],[       1761      738.71],[       1730      939.56],[     926.81      200.07],[     935.48      438.75],[     261.02      397.39],[     1575.7      410.42]
1001.0000000000001,30,[     79.353      715.43],[      103.2      919.42],[      928.7      697.12],[     925.35      923.57],[     1759.7      736.69],[     1728.7       937.7],[     926.04      198.97],[     935.24      437.09],[     260.45      396.63],[     1573.7      409.06]
1334.6666666666667,40,[     78.981      714.96],[     102.01      919.62],[     927.96      697.51],[     924.45       924.3],[     1760.1       737.6],[     1729.7      939.25],[     926.03      199.46],[     934.58      436.82],[     259.62      397.49],[     1575.6      410.68]
1668.3333333333335,50,[     79.351      715.91],[     102.83      920.01],[      928.8      697.57],[      925.4       924.1],[     1760.4      737.24],[     1729.8      938.38],[     926.45      198.62],[     935.38      437.44],[     259.95      396.89],[     1575.6      409.33]
2002.0000000000002,60,[     79.794      715.01],[     103.45      919.01],[     928.97       696.6],[      925.6      923.05],[     1760.1      736.13],[     1729.2      937.18],[     926.34      198.16],[     935.55      436.57],[      260.5      396.07],[     1574.4      408.41]
2335.6666666666665,70,[     78.731      714.96],[     102.36      919.17],[     928.31      696.76],[      924.9      923.27],[     1759.1      736.11],[     1728.1      937.34],[     925.43      199.25],[     934.97      436.46],[     259.53      397.01],[     1572.9      409.42]
2669.3333333333335,80,[     78.554      716.46],[     102.53      919.75],[     927.35      698.33],[     923.93       924.1],[       1758      738.02],[     1726.8      938.32],[     924.69      200.95],[     933.97      439.13],[     259.24      398.05],[     1572.3       410.7]
3003.0,90,[     79.261      716.18],[     103.17      919.41],[     928.05      698.01],[     924.63      923.83],[     1759.3      737.98],[     1728.2      938.24],[     925.88      199.86],[      934.6      438.91],[     260.06      397.14],[     1574.4      409.91]
3336.666666666667,100,[     79.698      715.49],[     103.46       919.4],[     928.71      697.07],[     925.38      923.44],[     1760.1      736.55],[     1729.1      937.48],[     926.06      199.36],[     935.23      437.16],[     260.64      397.16],[       1574      409.41]
3670.3333333333335,110,[     79.372      715.25],[     103.04      919.06],[     928.48      696.91],[     925.08      923.14],[     1759.7       736.5],[     1729.3      937.26],[     926.01       198.9],[     935.04      437.13],[     259.89      397.11],[     1575.2      409.44]
4004.0000000000005,120,[     79.227      716.37],[     103.63      919.82],[     929.36      697.45],[     925.99      923.22],[     1757.2      736.31],[     1727.1      936.27],[     925.49      199.71],[     936.07      437.96],[     259.15       397.7],[     1573.2      409.23]
4337.666666666667,130,[     79.329      717.13],[     103.93      920.22],[     929.08       697.3],[     925.85      922.97],[       1757      735.74],[     1727.1       935.4],[     925.18      198.97],[     935.67      438.21],[     259.14      397.53],[     1573.2       408.2]
4671.333333333333,140,[     79.273      716.78],[     103.25      920.52],[     928.79      697.35],[     925.52      923.51],[     1756.4      735.74],[     1726.2      936.38],[      925.5      199.41],[     935.43      437.62],[     259.76      397.82],[     1571.8      408.87]
5005.0,150,[      79.04      719.34],[     104.23      922.28],[     930.04      699.79],[      926.9      925.73],[       1767       739.5],[     1736.3      938.75],[     925.69      199.82],[     936.35      440.64],[     258.79      398.35],[     1580.1       409.5]
5338.666666666667,160,[     78.878      719.78],[     104.27      922.65],[     929.37      700.22],[     926.07      925.93],[     1767.4      739.82],[     1737.6      938.19],[     925.06      199.62],[     935.89      440.36],[     258.83       398.7],[     1583.2      409.53]
