Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     79.347      777.67],[     100.87      990.14],[     965.25      748.66],[     963.69       985.8],[     1833.3      785.04],[     1809.6       994.3],[     953.26      207.98],[     971.59       471.5],[     254.12      422.92],[     1637.3      422.23]
333.6666666666667,10,[     82.062      768.89],[     103.52      980.82],[     965.94      739.11],[     964.44       976.1],[       1834      775.18],[     1810.5      984.03],[     954.07      199.24],[     972.21      462.99],[     257.09      414.22],[     1637.6      412.95]
667.3333333333334,20,[     85.269      764.12],[     105.94      978.98],[     967.29      736.62],[     965.38      974.45],[     1834.3      771.93],[       1811      982.39],[     956.27      197.67],[     973.86      457.99],[     258.25      412.18],[     1639.3      412.36]
1001.0000000000001,30,[     80.051      761.87],[     100.48      981.88],[     964.39      738.92],[     962.21      979.31],[     1834.5      775.76],[       1811      989.74],[      956.5      200.06],[     970.67      454.82],[     254.21      415.28],[     1642.1      419.65]
1334.6666666666667,40,[     80.546      772.96],[     102.27      985.34],[     966.33      743.63],[     965.06      980.73],[     1834.5      779.97],[     1811.2      989.22],[     954.97      203.73],[     972.28      466.67],[     257.22       419.1],[       1639         418]
1668.3333333333335,50,[     83.512      767.95],[      104.3      982.99],[     967.21      740.35],[     965.52      978.31],[     1834.7      775.79],[     1811.3       986.4],[        956      198.92],[     973.59      460.94],[     256.55       413.7],[     1640.2      413.71]
2002.0000000000002,60,[     84.552      766.75],[     104.97      981.89],[     966.56       740.1],[     964.72      978.05],[     1833.6      776.05],[     1810.7      986.88],[     957.51      199.68],[     972.89      460.66],[     259.32      414.19],[     1641.8       415.1]
2335.6666666666665,70,[     81.364      773.71],[     102.79      986.12],[     966.59      744.57],[     965.23      981.54],[     1834.3      780.99],[     1811.3       990.1],[     955.48      204.16],[     972.62      467.25],[     257.37      419.44],[     1640.3       418.4]
2669.3333333333335,80,[     79.138      762.66],[     99.382      982.74],[     962.29      740.67],[     959.79      981.43],[     1832.5      778.43],[     1809.2      992.69],[     957.76      201.21],[     968.64      456.13],[     256.43      415.55],[       1644      421.16]
3003.0,90,[      85.16      767.55],[     106.27      981.92],[     966.89      739.64],[     965.15      977.34],[     1833.3      775.22],[     1809.8      985.43],[     957.52      198.88],[     973.24      460.72],[     260.57      412.83],[     1640.3      413.01]
3336.666666666667,100,[      81.15      769.42],[     102.27      983.98],[     964.74      741.96],[     962.88      979.68],[     1830.3      777.65],[     1807.1      987.88],[     955.39      201.68],[     971.18      462.76],[     256.96      415.62],[     1638.3      415.79]
3670.3333333333335,110,[     81.076      775.01],[     102.96      987.02],[     967.77       745.4],[     966.39      982.17],[     1834.7      781.67],[     1811.2      990.38],[     955.65      205.07],[     973.92      468.53],[     256.76      420.21],[     1639.5      418.91]
4004.0000000000005,120,[     83.974      769.13],[     104.86      984.28],[     967.38      741.57],[     965.68      979.37],[     1833.8      776.79],[     1810.3      987.38],[     955.72         202],[     973.78      461.88],[     256.52      416.61],[     1639.1      416.53]
4337.666666666667,130,[     83.043      768.37],[     103.93       983.2],[      966.3      741.12],[     964.52      978.77],[     1832.8      776.69],[     1809.5      987.08],[     955.62      201.44],[      972.7       461.9],[     256.79      415.85],[     1639.1      416.13]
4671.333333333333,140,[     81.353       774.2],[     102.93      986.86],[     967.69      744.73],[     966.47      981.86],[     1836.3      780.97],[       1813      990.25],[      955.5      204.05],[     973.65      467.11],[     256.48      419.78],[     1640.8       418.4]
5005.0,150,[     82.271      769.56],[     103.01      985.14],[     966.57      742.71],[     964.82       980.8],[     1834.5      778.37],[     1811.2      989.33],[     955.54      202.67],[     972.92      462.43],[      255.5      417.42],[     1640.6      417.92]
5338.666666666667,160,[     83.137      768.33],[     104.07      983.43],[      967.1      740.84],[     965.36      978.73],[     1834.1      776.07],[     1810.8      986.72],[     956.26      201.81],[     973.46      461.27],[      257.3      416.65],[     1640.1      416.57]
5672.333333333333,170,[     78.329      764.69],[      98.75      983.82],[     962.41      741.14],[     959.96      981.33],[     1831.8      778.02],[     1808.5      991.28],[     956.55      200.74],[      968.9      458.04],[     254.58      415.77],[     1642.4      419.82]
6006.0,180,[     80.628      770.65],[     101.23      985.89],[     964.48      743.86],[     962.58      981.89],[     1832.8      779.77],[     1809.9       990.5],[     955.57      202.74],[      970.9      463.94],[     255.85      417.48],[     1641.4      418.17]
