Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     99.434      751.94],[     116.16      959.66],[     942.96      731.11],[     939.76      960.54],[     1781.5      768.51],[     1760.6      972.58],[     942.34      211.54],[      949.9      461.03],[     268.18      417.34],[     1608.3      423.24]
333.6666666666667,10,[     97.901      751.15],[     114.03      960.16],[     942.11      731.62],[     938.69      962.18],[     1782.2      769.78],[     1761.9      975.15],[      943.4      211.05],[     949.06      460.23],[     268.09      417.02],[     1611.1      424.07]
667.3333333333334,20,[     100.08      747.43],[     116.33      955.13],[     942.77      728.06],[     939.35      957.34],[     1781.8      766.42],[     1761.4      970.76],[     944.65      209.75],[      949.7      457.79],[     270.48      415.21],[     1611.8       422.6]
1001.0000000000001,30,[     100.06      750.42],[     116.29      958.57],[     942.89       731.1],[     939.47      960.81],[     1781.9      769.41],[     1761.4      974.14],[     944.51      211.81],[     949.83      460.59],[     270.31       417.2],[     1611.1      424.63]
1334.6666666666667,40,[     99.268      752.39],[     115.87      960.24],[     943.23      732.19],[     939.98      961.62],[     1783.5         770],[     1762.6      974.31],[      943.4      212.33],[     950.17      461.65],[     268.34      418.17],[     1610.9      424.77]
1668.3333333333335,50,[     100.04      749.48],[     116.66      956.53],[     942.27      729.39],[     938.96      958.06],[     1780.3      767.33],[     1759.7      970.92],[     943.35      211.29],[     949.19      459.75],[     269.94       416.6],[     1609.5       423.3]
2002.0000000000002,60,[     100.62      748.93],[     117.06      956.26],[     943.36      728.83],[        940      957.73],[     1782.2      766.69],[     1761.6      970.53],[     944.39      210.49],[     950.33      458.84],[     270.17      416.16],[     1611.5      422.81]
2335.6666666666665,70,[     99.906      751.38],[     116.13       959.7],[      942.5      731.79],[     939.12       961.6],[       1782      769.86],[     1761.6      974.66],[     943.99      212.22],[     949.42      461.11],[     269.98      417.86],[     1610.9      424.97]
2669.3333333333335,80,[     99.335      751.37],[      115.5      959.84],[     942.46      732.07],[     939.05      962.06],[     1782.6      770.39],[     1762.1      975.42],[     944.32      212.19],[     949.37      461.07],[     269.73      417.81],[     1611.9      425.25]
3003.0,90,[     100.75      749.49],[     117.26      956.72],[     943.07      729.44],[     939.73      958.28],[     1781.6      767.33],[     1760.9      971.16],[     944.01      211.05],[     950.02      459.67],[      270.3      416.45],[     1610.4      423.21]
3336.666666666667,100,[     100.48      750.54],[     116.69      958.66],[     942.58      731.41],[     939.21      961.08],[     1781.9      769.94],[     1761.6       974.7],[     945.39      212.43],[     949.38      460.71],[     271.94      417.78],[     1612.5      425.42]
3670.3333333333335,110,[     98.993      752.37],[     115.25      960.93],[     942.54         733],[     939.18         963],[       1783      771.29],[     1762.5      976.33],[     944.32      212.68],[     949.42      461.82],[     269.45      418.43],[     1612.1      425.78]
4004.0000000000005,120,[     100.28      749.91],[     116.32       958.2],[     942.11      731.22],[     938.64      961.11],[       1782      770.12],[     1761.7       975.1],[     945.39      211.68],[     948.94      460.49],[     271.97      416.79],[     1612.8      424.97]
4337.666666666667,130,[     101.08      749.36],[     117.32      957.07],[     943.26      729.78],[     939.87      959.05],[     1782.1      767.94],[     1761.6      972.24],[     945.03       211.2],[     950.19      459.57],[     271.25      416.71],[     1611.9      423.89]
4671.333333333333,140,[     99.638      751.49],[     115.59      960.38],[     942.13      732.83],[     938.71       963.2],[     1782.8      771.62],[     1762.5      977.12],[     945.29      212.67],[     948.93      461.42],[     271.16      418.21],[     1613.2       426.3]
5005.0,150,[     98.575      752.59],[     115.09      961.21],[     942.47      733.17],[     939.19      963.57],[     1782.8      771.79],[     1762.2      977.01],[     944.57      212.52],[      949.2      462.08],[     270.53       417.9],[     1611.6      425.35]
5338.666666666667,160,[     100.35      751.79],[     117.13      959.25],[     943.82      730.91],[     940.78      960.19],[     1783.1      768.53],[     1762.4      972.57],[     944.47      211.56],[     950.55      460.57],[     270.51      417.54],[     1611.2      423.47]
5672.333333333333,170,[     104.97      753.83],[     121.56      960.01],[      945.4       731.7],[      942.4      960.69],[     1781.3      768.95],[     1760.5       971.8],[      943.8      212.43],[     952.19      463.83],[     272.39       417.7],[     1606.7       422.7]
6006.0,180,[     93.938      750.12],[     110.72       957.6],[     942.24      729.95],[      938.7      960.27],[       1784       768.6],[     1763.5       973.2],[     945.67      209.42],[     949.17      459.87],[     268.92      415.85],[     1614.2      423.06]
6339.666666666667,190,[     70.727      750.87],[     88.526      960.73],[     938.74      732.25],[     934.86      965.69],[     1789.7      772.21],[     1769.2      980.21],[     946.53      207.79],[     945.71      457.74],[     256.75      417.36],[     1622.8      426.23]
6673.333333333334,200,[     76.846       752.6],[     94.683      961.15],[     940.19      733.35],[     936.29      965.09],[     1785.9      772.45],[       1765      978.61],[     944.45      210.36],[     947.47       460.9],[     257.48      418.53],[     1616.7      426.59]
7007.000000000001,210,[     103.39      754.94],[     121.38      961.31],[     945.65      731.27],[     942.96      959.72],[       1780      767.35],[     1758.8      969.53],[     941.08      211.87],[     952.38      463.35],[     270.54      417.12],[     1602.4      420.34]
7340.666666666667,220,[     101.98       755.7],[     120.57      961.72],[     948.45      730.01],[     945.82      957.77],[     1781.5      764.42],[     1760.1      965.59],[     939.22      210.47],[     955.58       462.4],[     265.09      416.81],[     1600.3      417.62]
7674.333333333334,230,[     102.28      757.36],[     120.93       963.8],[     949.97      731.82],[     947.42      959.92],[     1783.1      766.37],[     1761.9      967.97],[     941.16       211.6],[        957      463.71],[      266.4      418.16],[     1602.2      419.07]
8008.000000000001,240,[     103.03      756.21],[     121.13      962.98],[     948.15      732.39],[     945.41      960.91],[     1782.1      768.13],[     1761.1      970.47],[     942.28      212.34],[     955.04         464],[     269.27      418.07],[     1603.9       420.9]
8341.666666666666,250,[     101.97      751.94],[     119.63      958.56],[     945.69      730.19],[     942.54      958.88],[     1780.9      767.57],[       1760      970.33],[     943.86      210.83],[     952.61      461.92],[     271.83      415.53],[     1606.6      420.84]
8675.333333333334,260,[     102.37      752.49],[     119.88      959.08],[     945.22      731.13],[     942.03      959.76],[     1780.1      768.72],[     1759.1      971.57],[     943.65      211.56],[     952.17      462.82],[     271.79      415.86],[       1606      421.63]
9009.0,270,[     101.84      751.85],[     118.83      959.02],[     943.78      733.24],[      940.2      962.35],[     1779.5      772.62],[     1758.6      976.41],[     945.55      213.79],[     950.73      464.34],[     274.01      416.82],[     1608.5      425.51]
9342.666666666666,280,[     101.96      751.57],[     119.28      958.15],[     944.01      731.54],[     940.51      960.23],[     1780.6      770.15],[     1759.6      973.25],[     945.38      212.59],[        951      463.08],[     274.15       416.2],[     1609.2      423.66]
9676.333333333334,290,[     102.36      752.83],[     119.98      958.89],[     945.09      731.64],[     941.64      959.79],[     1780.8       769.2],[     1759.4      971.65],[     943.83      213.77],[     952.26      463.82],[     272.03      417.72],[     1606.6      423.94]
10010.0,300,[     101.28      751.49],[      118.2      958.46],[     942.64       732.9],[     938.99      961.92],[     1780.8      772.45],[     1759.8      976.15],[     945.74      213.19],[     949.57      464.19],[     274.53      416.56],[     1610.7      425.61]
10343.666666666668,310,[      101.5      751.64],[     118.26      959.16],[     943.39      732.93],[     939.83      962.33],[       1780      772.34],[     1759.7      976.36],[     946.29      212.99],[     950.24      463.62],[     274.66      416.66],[     1610.7      425.12]
10677.333333333334,320,[     100.84      750.43],[     117.55      958.53],[     944.31      731.31],[     940.84      961.18],[     1781.8      770.22],[     1761.4      974.71],[      945.9      211.25],[      951.2      461.36],[     272.83      415.76],[     1610.9       423.6]
11011.000000000002,330,[     101.28      750.07],[     117.74      958.21],[     943.66      731.74],[     940.08      961.59],[     1781.9      771.13],[     1761.6      975.77],[     946.34      212.09],[     950.53      461.75],[      273.8      416.25],[       1612      424.94]
11344.666666666666,340,[     100.96      751.43],[     117.26      959.88],[      943.2      733.54],[     939.57      963.72],[     1781.8      773.26],[     1761.6      978.26],[     946.92      213.08],[     950.05      463.17],[     274.29      417.13],[     1612.9       426.3]
11678.333333333334,350,[      100.5      751.11],[      116.6      959.97],[     943.36      732.55],[     939.86      963.01],[     1782.5      771.55],[     1762.3      976.94],[     946.21      211.99],[     950.23      461.41],[     272.29         417],[     1612.9      425.29]
12012.0,360,[     101.54      752.53],[     118.45      959.87],[     944.65      731.05],[     941.48      960.27],[     1781.2      768.24],[     1760.6      971.91],[     944.34      211.13],[     951.57      461.51],[      271.1      416.72],[     1608.9      422.05]
12345.666666666668,370,[     103.06      754.59],[     120.44      961.21],[     946.08      732.26],[     942.96      960.85],[       1781      768.96],[     1759.8       971.7],[     943.22      212.41],[     953.15      463.67],[     270.32      417.44],[     1605.9      422.05]
12679.333333333334,380,[     101.45      752.36],[     117.87      960.12],[     942.76      733.88],[      939.1      963.53],[     1782.3      773.22],[     1761.5      977.75],[     946.39      214.31],[     949.74      463.76],[     273.95      418.24],[     1612.9       427.2]
13013.0,390,[     100.84      752.37],[     117.47       960.3],[     942.52      732.82],[     939.11      962.93],[     1783.6      771.73],[     1762.9      976.51],[     946.35       212.9],[     949.26      462.42],[     274.53      417.49],[     1613.6      425.44]
13346.666666666668,400,[     102.31      752.89],[     119.28      959.69],[     944.14      732.92],[     940.64      961.92],[     1782.8      771.51],[     1761.6      975.04],[     945.76      213.26],[     951.17      463.81],[     273.49      417.29],[     1611.3      424.96]
13680.333333333334,410,[      101.2      752.46],[     117.96      960.06],[     943.25      733.68],[     939.86      963.42],[     1781.6      773.16],[     1760.8      977.57],[     946.13       213.4],[     949.98      463.93],[     274.23      417.16],[     1611.3      425.74]
14014.000000000002,420,[     102.12      751.78],[     118.67      959.41],[     944.77      732.58],[     941.24      962.17],[     1782.3      771.44],[     1761.6       975.7],[      946.5      212.42],[     951.76      462.91],[     273.26       416.7],[     1611.6      424.68]
14347.666666666668,430,[     101.38      751.37],[     117.96      959.13],[     944.66      731.91],[     941.19      961.63],[     1782.7       770.6],[     1762.2      975.01],[     946.72      211.52],[     951.61      461.98],[     273.11      416.27],[     1612.3      423.91]
14681.333333333334,440,[     100.46      751.92],[     117.09      959.85],[     944.32      733.14],[     940.81      962.96],[     1782.8      772.29],[     1762.3      976.93],[     947.27      212.81],[      951.2      462.89],[     273.49      417.36],[     1613.3      425.69]
15015.0,450,[     101.47      752.85],[     118.34      960.32],[     945.27      733.25],[     941.87      962.77],[     1782.9      771.94],[     1762.1       976.1],[     946.83      212.92],[     952.18      463.49],[      273.2      417.44],[     1611.9      425.04]
15348.666666666668,460,[     101.36      751.03],[     118.03      958.59],[     944.79      731.56],[     941.33      961.15],[     1782.6      770.29],[       1762      974.51],[     946.65      211.71],[     951.73      461.75],[     273.09      416.33],[     1612.1         424]
15682.333333333334,470,[     103.12      751.92],[     119.87      959.46],[     946.02      731.47],[     942.62      960.79],[     1781.9      769.17],[     1761.3      973.04],[      945.8      212.29],[     953.07      462.08],[     272.72      417.23],[     1609.6       423.6]
16016.000000000002,480,[     102.94      754.47],[     120.28       961.3],[        947      732.55],[     943.88      961.31],[       1782      769.39],[       1761      972.49],[     944.92      212.95],[     954.02      463.66],[     271.44      418.33],[     1607.8      423.25]
16349.666666666668,490,[     101.08      751.91],[     117.62      960.14],[     945.71      732.24],[     942.24      962.33],[     1786.2      770.56],[     1765.4      975.45],[     947.13      211.04],[     952.74      461.72],[      272.1      416.66],[     1614.4      424.19]
16683.333333333332,500,[     96.049       753.5],[      113.6      959.59],[      944.1      731.14],[     940.87      960.57],[       1784      768.44],[       1763      971.83],[     945.92      211.94],[     950.99      462.17],[     270.71      418.33],[     1612.1      423.58]
17017.0,510,[     86.567      754.22],[     105.41      961.29],[     944.59      731.55],[     941.35      961.94],[     1786.6      768.86],[     1765.9       973.1],[     946.97      210.91],[     951.41      461.09],[     266.83      418.79],[     1615.5      423.38]
17350.666666666668,520,[     85.646       755.8],[     104.55      962.53],[     944.28      731.88],[     941.11       962.1],[     1787.1      768.09],[     1765.5       971.9],[     943.37      210.81],[     951.36      461.88],[      261.8      419.55],[     1611.8      423.12]
17684.333333333336,530,[     101.86      757.15],[     120.88       963.3],[     950.89      731.38],[     948.27       959.5],[     1782.8      765.89],[     1761.6      967.49],[     942.99      211.67],[     957.93      463.44],[     268.28      418.01],[     1602.9       418.8]
18018.0,540,[     102.79      757.67],[     121.88      963.67],[     952.38      731.33],[     949.77      959.35],[       1784      765.31],[     1762.3      966.64],[     942.39      211.58],[      959.6      463.67],[     266.75      418.28],[       1602      418.54]
18351.666666666668,550,[      103.2      757.74],[     122.08      964.05],[     951.49      731.82],[     948.93      959.89],[     1783.2      766.02],[     1761.9      967.55],[     942.24       212.4],[     958.56      463.87],[     267.61      418.86],[     1602.1      419.38]
18685.333333333332,560,[     101.35      755.45],[     119.45      961.37],[     947.56      731.49],[     944.71      960.13],[     1783.3      767.36],[       1762      969.63],[     943.74      211.89],[      954.5      463.58],[     270.22      418.25],[     1606.3      421.43]
19019.000000000004,570,[     103.01       756.8],[     121.86      962.82],[     951.07      730.76],[     948.42      958.73],[     1782.9      764.91],[     1761.5      966.23],[     941.86      211.38],[     958.24      463.13],[     267.21      417.93],[     1601.8      418.45]
19352.666666666668,580,[     102.62      758.01],[     121.56      964.23],[     950.44      731.64],[     947.98      959.76],[     1782.9      765.63],[     1761.4      967.11],[     941.06      211.99],[     957.43      463.73],[     266.91      418.68],[     1601.1      418.81]
19686.333333333332,590,[     102.61      758.62],[     121.63      964.73],[     950.56      732.17],[     948.14      960.27],[       1783      766.24],[     1761.5      967.72],[     941.39      212.05],[     957.51      464.33],[     267.22      418.64],[     1601.4      418.81]
20020.0,600,[     102.67      757.11],[     121.59      962.42],[     949.49      731.33],[     946.69      958.76],[     1783.1      765.88],[     1761.3      966.76],[     941.85      212.33],[     956.72      464.25],[     268.05      418.26],[       1603      419.53]
20353.666666666668,610,[     102.38      758.29],[     121.57      963.63],[     948.92      731.69],[     946.35      959.29],[     1783.3      765.72],[     1761.5      966.69],[     941.18       213.8],[     955.93      464.62],[     268.65      420.17],[     1602.2      420.61]
