Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     86.001      731.81],[     85.531      959.82],[     929.59      727.91],[     923.96      966.41],[     1785.4      760.08],[     1778.2      987.34],[     934.12      284.28],[     937.44      439.49],[     279.74      504.52],[     1598.6      512.69]
333.6666666666667,10,[     86.194      732.35],[     86.657      960.18],[     930.15      728.18],[      924.6      966.63],[     1785.3      760.58],[     1777.6      987.52],[     934.55      283.75],[     937.95      440.25],[     279.76      503.89],[     1599.1      512.42]
667.3333333333334,20,[     86.071      732.93],[     86.668      960.55],[     930.18       728.9],[     924.56      967.11],[     1785.1      761.39],[     1777.2      988.06],[     934.51      283.86],[     938.06      441.22],[     279.06      503.76],[     1599.3      512.57]
1001.0000000000001,30,[     88.383      734.02],[     88.636      959.72],[     929.58      730.32],[      923.7      967.12],[     1782.3      763.61],[     1774.1      988.68],[     935.07       281.8],[     937.78      444.79],[     280.45      499.45],[     1598.7      509.26]
1334.6666666666667,40,[     91.412      737.12],[       91.5      960.35],[     929.41      732.65],[     923.46      967.66],[     1779.2      766.11],[     1770.6      989.04],[     934.75       280.4],[      937.9      449.77],[     280.81      496.04],[     1596.7      505.85]
1668.3333333333335,50,[       88.8      742.93],[     97.902      962.63],[     930.64      736.19],[     925.27      969.05],[     1774.3      771.38],[     1760.2      989.49],[     935.76      279.17],[     938.56      458.25],[     278.59      491.19],[     1596.3      503.89]
2002.0000000000002,60,[     87.711       742.5],[     96.445      962.94],[     930.88      736.04],[     925.48      969.37],[     1775.9      771.02],[     1762.2       989.8],[     935.95      279.28],[     938.76      457.15],[      277.8      492.19],[     1597.7      504.69]
2335.6666666666665,70,[     88.446      741.32],[     96.928      961.81],[     930.99      735.07],[     925.53      968.47],[       1776      770.31],[     1762.2      989.24],[     936.16       279.1],[     938.93      456.03],[      278.9      491.81],[     1597.2      504.53]
2669.3333333333335,80,[     89.594      742.49],[     98.556      961.88],[     931.44      736.09],[      925.9       968.6],[     1774.9      771.58],[     1760.6      989.35],[     936.66      278.02],[      939.5      458.33],[     278.62      489.72],[     1597.5      502.92]
3003.0,90,[     88.851      743.36],[     97.841      962.11],[     930.69       737.2],[     924.94      969.14],[     1773.6      772.74],[     1758.8      989.91],[     935.35      277.45],[     939.02      460.22],[     275.97      488.47],[     1596.6      502.15]
3336.666666666667,100,[     85.395      737.86],[     93.502      961.28],[      931.5         732],[      926.3      967.96],[     1781.4      766.78],[     1768.5      988.79],[     936.93      281.61],[     938.95      449.79],[     281.26      496.91],[     1598.8      508.77]
