Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[        127      801.26],[     137.09      1014.4],[     948.54      799.25],[      942.5      1025.9],[     1774.2      837.74],[     1758.3      1050.3],[     956.14      359.62],[     956.47      530.24],[     319.88      562.72],[     1596.6      580.88]
333.6666666666667,10,[     126.59      801.58],[     136.87      1014.9],[     948.47      799.34],[     942.53        1026],[     1774.2      837.54],[     1758.2        1050],[     955.71      359.44],[      956.3      530.07],[     318.99       562.8],[     1596.6      580.62]
667.3333333333334,20,[     126.77      801.55],[      137.1      1014.7],[     948.48      799.27],[     942.52      1025.9],[     1774.1      837.65],[     1758.1      1050.1],[     955.79      359.25],[     956.35      530.18],[     319.13      562.39],[     1596.5      580.36]
1001.0000000000001,30,[     126.94      801.46],[     137.07      1014.7],[     948.47      799.35],[     942.46      1026.1],[     1774.2      837.79],[     1758.3      1050.4],[     955.98       359.8],[     956.38       530.2],[     319.57      562.99],[     1596.6      581.07]
1334.6666666666667,40,[     126.86      800.56],[     136.79      1014.3],[     948.54      798.67],[     942.55      1025.8],[     1774.8      837.13],[     1759.1      1050.3],[     956.46      360.37],[     956.39      528.93],[     320.64      563.86],[       1597      581.97]
1668.3333333333335,50,[     126.74      801.59],[     136.93      1014.8],[     948.45      799.55],[     942.42      1026.2],[     1774.2      838.06],[     1758.1      1050.6],[     955.95      359.72],[     956.39      530.38],[      319.2      562.86],[     1596.7      581.08]
2002.0000000000002,60,[      126.8      800.94],[     136.78      1014.5],[     948.41      799.19],[     942.41      1026.1],[     1774.2      837.67],[     1758.6      1050.6],[     956.41      360.28],[     956.24      529.51],[     320.42      563.66],[       1597       581.9]
2335.6666666666665,70,[     126.58      800.99],[     136.79      1014.5],[     948.49      799.39],[     942.52      1026.1],[     1774.4      838.02],[     1758.7      1050.7],[     956.85      359.84],[     956.28      529.61],[     320.32      563.07],[     1598.1      581.53]
2669.3333333333335,80,[     127.07      801.76],[     137.26      1014.4],[     948.02      800.27],[      941.9      1026.3],[       1773      839.28],[     1756.9      1051.1],[      956.3      358.73],[        956      531.44],[     319.37       561.1],[     1597.4      580.02]
3003.0,90,[     127.09      802.54],[      137.5      1015.5],[     948.54      800.05],[     942.68      1026.4],[     1773.7      838.27],[     1757.6      1050.3],[     955.45      359.07],[     956.34      530.95],[     318.44      562.34],[     1596.3      580.04]
3336.666666666667,100,[     126.69      802.23],[     136.86      1015.2],[     948.38      800.11],[     942.42      1026.4],[       1774      838.47],[       1758      1050.6],[     955.75      358.78],[     956.29      530.75],[     317.65      561.95],[     1597.8      579.96]
3670.3333333333335,110,[      126.1      802.38],[     135.91      1014.9],[     947.74      800.34],[     941.75      1026.7],[     1774.6      839.59],[     1758.6      1051.5],[     955.68      355.73],[     955.69      531.22],[     317.63      558.34],[     1598.2      576.74]
4004.0000000000005,120,[     126.53      802.57],[     136.85      1015.2],[     948.27      800.39],[     942.31      1026.6],[     1774.3      839.25],[     1758.1        1051],[     955.89      357.24],[      956.2      531.41],[     317.35      560.04],[     1598.4      578.35]
4337.666666666667,130,[      125.2      799.39],[     134.24        1015],[     948.67      797.41],[     942.95      1025.9],[       1778      835.01],[     1763.4      1049.9],[     956.01      360.91],[     956.26      525.01],[     319.36      566.64],[     1598.9      583.36]
4671.333333333333,140,[     125.92      800.26],[     135.61      1014.8],[     948.74      798.14],[     942.85      1025.8],[     1776.3      835.93],[     1760.9      1049.8],[     955.75      360.53],[     956.56      527.17],[     318.58      565.06],[     1597.8      582.39]
5005.0,150,[     125.69      799.35],[     135.01      1014.6],[     948.83      797.69],[     942.98      1025.8],[     1777.3      835.64],[     1762.4      1050.1],[     956.54       361.1],[     956.54      525.83],[     319.74      566.12],[     1599.1      583.54]
5338.666666666667,160,[     124.92       798.7],[     134.05      1014.6],[     949.09      797.07],[     943.28      1025.5],[     1778.4      834.55],[     1763.8      1049.5],[     956.55      361.31],[     956.77      524.33],[     318.83      567.19],[     1600.1      584.22]
5672.333333333333,170,[     125.46      799.93],[     134.99        1015],[     948.82      797.87],[     943.05      1025.8],[     1777.2      835.56],[     1762.1      1049.7],[     955.95      360.46],[     956.49      526.17],[     318.64      565.66],[     1598.7      582.67]
6006.0,180,[     125.69      801.19],[     135.56      1015.6],[     948.64      798.84],[     942.85      1026.2],[     1775.7      836.45],[     1760.4      1049.9],[     955.97      359.95],[     956.33      527.99],[     318.17      564.66],[     1598.6      581.75]
6339.666666666667,190,[     126.58      801.43],[     136.41      1014.3],[     947.99      799.96],[     941.95      1026.2],[     1773.9      838.83],[     1758.3        1051],[     956.69       358.3],[     955.92      530.53],[     319.04      561.04],[     1599.1      579.65]
6673.333333333334,200,[        127      802.89],[     136.99      1014.7],[     947.77      801.11],[     941.62      1026.5],[     1772.6      840.08],[     1756.4      1051.1],[     955.77       356.8],[     955.89      532.93],[     317.31      558.68],[     1597.9      577.44]
7007.000000000001,210,[     126.35      801.06],[     136.15      1014.2],[     948.07      799.43],[     942.09        1026],[     1774.4      838.22],[       1759      1050.6],[     956.96      357.51],[     955.91      529.82],[     319.32      560.58],[     1599.7      578.94]
7340.666666666667,220,[     125.45      801.27],[     135.12        1016],[      948.5      798.56],[     942.83      1026.2],[     1776.1      835.74],[     1761.1      1049.5],[     954.86       360.8],[     956.09      527.36],[     317.89      566.09],[     1596.8      582.39]
7674.333333333334,230,[     124.98      799.74],[     134.45      1015.5],[     948.72       797.4],[     943.15      1025.8],[     1777.4      834.61],[     1762.8      1049.3],[     955.19      361.88],[     956.13         525],[     319.12      567.89],[     1597.1       584.1]
8008.000000000001,240,[     126.04      800.82],[     135.86      1015.4],[     948.64      798.62],[     942.94      1026.2],[     1775.8      836.46],[     1760.7        1050],[      955.3      360.82],[      956.2      527.55],[      319.2      565.51],[     1596.5      582.54]
8341.666666666666,250,[     125.16      800.26],[     134.45      1015.5],[     948.22      798.13],[     942.51      1026.1],[     1776.1       835.7],[     1761.5        1050],[     955.57      360.49],[     955.77      526.33],[     318.81      565.96],[       1598      582.75]
8675.333333333334,260,[     125.78      800.07],[     135.11      1014.9],[     948.34      798.19],[     942.53        1026],[     1776.1      836.18],[     1761.3      1050.2],[     956.34      359.99],[        956      526.83],[     319.63      564.84],[     1598.8      582.19]
9009.0,270,[      126.4      801.92],[     135.99      1015.1],[     947.89      799.96],[     941.94      1026.6],[     1774.3      838.48],[     1758.8        1051],[     955.78      358.32],[     955.74      530.29],[     318.46      561.72],[     1597.9      579.61]
9342.666666666666,280,[     126.51      802.45],[     136.49      1015.2],[     947.68      800.38],[     941.72      1026.6],[     1773.3      838.94],[     1757.6        1051],[      955.5      358.51],[     955.58      531.29],[        318      561.48],[     1597.5      579.51]
9676.333333333334,290,[     126.33      801.54],[      135.9      1014.9],[     948.05      799.58],[     942.08      1026.4],[     1774.9      838.23],[     1759.4      1050.9],[     956.18      357.66],[     955.94      529.72],[     318.67      561.04],[     1598.7      579.04]
10010.0,300,[     125.24      800.46],[     134.51      1015.7],[     948.14      797.99],[     942.51      1026.2],[     1776.5      835.45],[     1761.9      1049.8],[     955.38      360.64],[     955.62      526.15],[     319.47      566.13],[     1597.4      582.48]
10343.666666666668,310,[     127.78       799.8],[     137.07        1016],[     949.32      798.16],[     943.82      1027.5],[     1780.5      837.67],[     1764.9      1053.3],[     956.71      361.53],[     956.89      525.11],[      320.5      566.53],[     1600.4      584.07]
10677.333333333334,320,[     128.75       799.6],[     137.96      1015.3],[     949.39      798.35],[     943.77      1027.4],[     1779.9      838.33],[     1764.1      1053.6],[     957.26      360.89],[     957.03      525.97],[     322.01      565.12],[       1600      583.28]
11011.000000000002,330,[     125.75      801.78],[     135.28      1015.8],[     948.01      799.54],[     942.24      1026.8],[     1775.6      837.66],[     1760.5      1050.9],[     955.48       359.5],[     955.67      528.91],[     318.81      563.71],[     1597.6      580.85]
11344.666666666666,340,[     125.71      802.13],[     135.87      1015.8],[     948.19      799.61],[     942.42      1026.7],[       1775      837.69],[     1759.5      1050.5],[     955.65       359.1],[     955.85      529.65],[     318.59      563.08],[     1597.5       580.4]
11678.333333333334,350,[      124.7      800.91],[     134.06      1015.9],[     948.16      798.46],[     942.48      1026.6],[     1777.3      836.28],[     1762.5      1050.5],[     955.55      359.29],[     955.71      526.89],[     318.34      564.61],[     1598.7      581.28]
12012.0,360,[     126.55      803.42],[     136.76      1015.6],[     947.67      801.03],[      941.7        1027],[     1773.5      839.89],[     1757.3      1051.3],[     955.49      356.92],[     955.64      532.53],[     317.27      559.33],[     1597.8      577.48]
12345.666666666668,370,[     126.82      805.01],[     137.33      1015.8],[     947.73      802.47],[     941.58      1027.5],[     1772.8      841.74],[     1755.8      1051.9],[        955      354.38],[     955.98      535.39],[      315.3      555.54],[     1597.6      574.23]
12679.333333333334,380,[     126.27      802.64],[     136.56      1016.2],[     948.44      799.77],[     942.83      1026.8],[     1775.6      837.81],[       1760      1050.5],[     955.31      359.52],[     956.01      529.73],[     318.23      563.66],[     1597.4       580.5]
13013.0,390,[      125.7      801.79],[     134.92      1015.9],[      947.9      798.79],[     942.12      1026.3],[     1775.3      836.29],[     1760.3      1049.9],[     954.64      360.25],[     955.65      528.63],[     318.47      565.05],[     1595.7      581.37]
