Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[      222.7      821.14],[     243.04      994.94],[     960.01      794.22],[     958.01      986.63],[     1679.8      818.87],[     1656.4      990.32],[     950.82      366.06],[     965.86      568.28],[     369.74      548.11],[     1515.1      543.84]
333.6666666666667,10,[     223.41      821.63],[     244.01      995.18],[        960      794.31],[      958.1      986.39],[     1678.8      818.75],[     1655.6      989.62],[      950.6      367.21],[     965.77      568.48],[     370.77      548.78],[     1514.2      543.85]
667.3333333333334,20,[     223.23      821.84],[      243.8      995.49],[     960.19      794.35],[     958.26      986.62],[     1679.5      818.64],[     1656.2      989.68],[     950.64      366.73],[     966.04      568.55],[     370.39      548.59],[     1514.4      543.57]
1001.0000000000001,30,[     222.84      821.64],[     243.37      995.45],[     959.91      794.14],[     958.02      986.62],[     1679.5      818.43],[     1656.2      989.75],[      950.6       366.3],[     965.68      568.28],[     370.41       548.4],[     1514.3      543.43]
1334.6666666666667,40,[     222.92       822.2],[     243.55      996.09],[     959.99      794.45],[     958.15      987.11],[     1679.6      818.59],[     1656.4      989.97],[     950.75      366.69],[     965.73      568.59],[     371.02      548.85],[     1514.2      543.56]
1668.3333333333335,50,[     223.48      822.29],[     244.15      995.83],[     960.35      794.33],[     958.49      986.55],[     1679.2      818.27],[     1655.9      989.22],[     950.63      366.83],[     966.18      568.63],[      370.7      548.82],[     1513.8      543.32]
2002.0000000000002,60,[      223.6       822.2],[     244.23       995.9],[     960.49      794.25],[     958.63      986.64],[     1679.6       818.2],[     1656.4      989.26],[     950.91      366.69],[     966.29      568.39],[     371.09      548.74],[     1514.4      543.16]
2335.6666666666665,70,[     223.63      821.93],[     244.07      995.81],[     960.12      794.22],[     958.21      986.64],[     1679.4      818.26],[     1656.2      989.38],[     950.38       366.6],[     965.97      568.12],[     370.33      548.58],[     1514.3      543.17]
2669.3333333333335,80,[     223.38      821.89],[     243.86      995.95],[     960.29      794.24],[     958.38      986.69],[     1679.3       818.3],[     1656.2      989.41],[     950.29      366.91],[     966.15      567.63],[      369.8      548.74],[     1514.4      543.19]
3003.0,90,[     223.69      821.77],[     244.16      995.61],[     960.12      794.68],[     958.06      986.94],[     1678.8       819.2],[     1655.7      990.07],[      950.5      367.52],[      966.1      568.44],[     370.25      548.81],[     1514.4      543.91]
3336.666666666667,100,[     224.17      821.97],[        245      995.02],[     959.56      794.73],[     957.62      986.45],[     1677.8      819.74],[     1654.6      989.88],[      950.7      367.14],[     965.37      569.13],[     371.85       547.6],[     1514.2      542.88]
3670.3333333333335,110,[     224.23      822.42],[     244.96       996.5],[     960.85      794.09],[     959.06      986.81],[       1680      818.22],[     1656.8      989.14],[      950.9      364.83],[     966.66       567.3],[     370.89      546.29],[     1514.9      540.24]
4004.0000000000005,120,[     224.22      823.44],[     245.22      997.34],[     960.65      793.82],[     959.07      986.27],[     1679.5      816.89],[     1656.1      987.46],[     949.17       365.8],[     966.41      567.14],[     369.63      547.69],[     1512.6       540.2]
4337.666666666667,130,[     223.04      822.68],[     243.53       997.2],[     961.33      794.17],[      959.5      987.06],[     1681.2      818.34],[     1658.2      989.36],[     950.98      362.17],[     967.28       566.4],[     368.06      544.03],[       1517      537.73]
4671.333333333333,140,[     223.85      822.81],[     244.85      996.15],[     960.11      794.65],[     958.26      986.61],[     1678.3         819],[     1655.1      989.17],[     950.31      366.78],[     965.96      568.58],[     370.82      547.71],[     1513.8      541.94]
5005.0,150,[      223.3      822.75],[     243.88       996.8],[     961.53      794.57],[     959.54      986.91],[     1680.5      818.58],[     1657.4      989.17],[     950.47      365.14],[     967.66      567.55],[     367.75      546.93],[     1515.7      540.91]
5338.666666666667,160,[     224.27       822.7],[     244.64      996.32],[      961.2      795.02],[     958.99      986.74],[     1679.4      818.99],[       1656      989.12],[     949.54      367.05],[     967.57      568.65],[     367.03      548.47],[     1514.4      542.98]
5672.333333333333,170,[     224.51      822.69],[      244.4      996.91],[     961.41      795.43],[     959.07      987.13],[     1678.9      818.89],[     1655.8      989.36],[     948.92      369.42],[     967.92       568.4],[     365.44      551.42],[     1514.1      545.82]
6006.0,180,[     224.37      822.87],[     244.53      996.42],[     960.81      795.88],[     958.41         987],[     1677.6      819.73],[     1654.4      989.58],[     948.61         371],[     967.33      569.55],[     365.89      552.25],[     1513.2       547.1]
6339.666666666667,190,[     225.55      823.91],[     246.01      997.66],[     961.92      795.36],[     959.91      986.94],[     1679.1      818.23],[     1656.1      988.34],[     949.89      370.34],[     968.13      568.97],[      368.7      552.57],[     1513.7      545.75]
6673.333333333334,200,[     224.49      825.07],[     245.25      998.93],[      962.8       794.8],[     960.89      986.47],[     1678.7      816.04],[     1655.4      986.12],[     948.18      369.72],[     969.22      568.18],[     365.52      552.77],[     1510.6      543.97]
7007.000000000001,210,[     225.48      823.65],[      246.2      996.81],[     962.49      795.36],[      960.4      986.55],[     1678.9      818.74],[     1655.6      988.45],[     950.85      369.36],[     968.78      569.51],[     369.18      550.94],[     1513.9      544.74]
7340.666666666667,220,[     226.58      823.54],[     247.55      995.87],[     962.39      796.05],[     960.19      986.34],[     1677.5      820.32],[     1653.9      989.01],[     950.52      371.24],[     968.76      570.73],[      369.5      551.36],[     1513.2      546.08]
7674.333333333334,230,[     224.72      824.51],[     245.24      998.32],[     963.72      795.65],[     961.57      987.86],[     1682.8      819.37],[     1659.3      989.52],[     951.95      363.51],[     970.23      568.91],[     366.95      545.92],[     1517.7      539.67]
8008.000000000001,240,[     223.43      825.49],[      244.3      998.09],[     961.39      796.33],[     959.08      987.64],[     1679.9      820.24],[     1655.9      989.14],[     949.16      364.39],[     968.13      570.85],[     364.75      545.79],[     1514.5       539.7]
8341.666666666666,250,[     224.06      825.09],[      244.8      997.65],[     963.07      796.42],[     960.42      987.49],[     1681.2      820.42],[     1656.5      989.14],[     949.03       364.2],[     970.32      570.82],[     362.04      545.13],[     1514.6      539.69]
8675.333333333334,260,[     223.56      823.88],[     243.92      997.32],[      962.8       796.2],[     960.03      987.91],[     1682.1       820.6],[     1657.6      990.16],[     949.11      364.15],[     970.04      569.98],[     361.64       545.3],[     1515.4      540.68]
9009.0,270,[        224      823.24],[     244.28      997.03],[     962.62      795.91],[     959.91      987.88],[     1682.1      820.49],[     1657.9      990.36],[     949.41      364.73],[     969.72       569.4],[      362.9       545.8],[     1515.7      541.33]
9342.666666666666,280,[     223.46      822.68],[     243.65      997.06],[     962.12      795.31],[     959.64      987.79],[     1681.8      819.81],[     1658.1       990.3],[     949.68      364.24],[     968.91      568.07],[     363.85      545.82],[     1516.1      541.01]
9676.333333333334,290,[     223.48      821.55],[     243.47      996.14],[     962.06      795.38],[     959.48      987.74],[     1681.5      820.67],[       1658      991.21],[     949.84      365.18],[      968.8      567.61],[     363.64      546.18],[     1517.1      542.34]
10010.0,300,[     223.32       820.5],[     243.04      994.83],[     961.29      795.71],[     958.39       987.7],[     1680.5      821.74],[     1656.9       992.2],[     949.75      366.29],[     968.24      568.43],[     363.36      546.63],[       1517      544.28]
10343.666666666668,310,[     224.41      819.78],[     244.24      993.51],[     961.03      795.86],[     958.19      986.88],[     1677.2      822.14],[     1653.9      991.99],[     949.62      370.19],[     967.79      569.26],[     365.19      549.76],[     1514.8      547.82]
10677.333333333334,320,[     225.08      819.05],[     244.73      992.93],[     960.49       795.7],[     957.58      986.67],[     1675.8      822.08],[     1652.7      992.11],[      949.4      371.52],[     967.24      569.09],[     365.98      550.72],[     1513.7      549.19]
11011.000000000002,330,[     223.28       818.3],[     242.62      993.15],[     959.92      795.58],[     956.93      987.67],[     1678.6      822.75],[     1655.6      993.84],[     950.62      368.74],[     966.59      567.76],[     365.82      548.34],[     1517.9      547.66]
11344.666666666666,340,[     222.64      817.15],[     241.88      992.01],[     959.38       794.8],[     956.31      986.71],[     1677.9      822.09],[     1654.8      993.21],[     950.09      368.58],[     966.09      566.77],[     364.79      547.99],[     1517.6      547.62]
11678.333333333334,350,[     222.51      816.18],[      241.6      991.22],[     958.96      794.12],[     955.86      986.02],[     1677.4      821.49],[     1654.3      992.78],[     949.57      368.24],[     965.66       565.8],[     364.08      547.55],[     1517.4      547.43]
12012.0,360,[     222.65      815.71],[      241.6      991.11],[     958.91      793.45],[     955.88      985.58],[     1677.8      820.53],[     1654.8       992.1],[     949.05      367.53],[     965.59      564.72],[     363.48      547.07],[     1517.1      546.64]
12345.666666666668,370,[      222.5      816.03],[     241.72      991.04],[      958.6      793.56],[     955.65      985.55],[     1677.2      820.82],[     1654.2       992.1],[     949.29      367.44],[     965.15      565.25],[     364.61      546.78],[     1516.9      546.31]
12679.333333333334,380,[     222.96      815.93],[      242.1      990.98],[     959.03      793.67],[     956.03      985.63],[     1677.6      820.99],[     1654.6      992.27],[     949.65       367.9],[     965.63      565.35],[     364.86      547.16],[     1517.4      546.82]
13013.0,390,[     223.94      816.03],[     243.07      991.15],[     960.06      793.47],[     957.08      985.53],[     1678.9      820.53],[     1655.8      991.87],[     950.24      367.49],[      966.7      565.17],[     365.35      546.99],[     1517.9      546.37]
13346.666666666668,400,[     223.28      815.95],[     242.34      991.12],[     959.46      793.77],[     956.44       985.7],[     1678.1         821],[       1655      992.36],[     949.63      368.26],[     966.09      565.28],[     364.47      547.55],[     1517.4      547.21]
13680.333333333334,410,[     223.52      817.66],[     242.89      992.38],[     959.87      794.83],[     956.95      986.48],[     1677.3       821.7],[     1654.1      992.57],[     949.12       369.6],[     966.51      566.88],[     364.37      548.74],[     1515.8       547.7]
14014.000000000002,420,[     224.88      818.41],[     244.27      993.21],[      961.9      795.11],[     958.99      986.88],[     1679.3      821.61],[     1656.1      992.55],[     950.68      369.33],[      968.6      567.04],[     365.26      548.84],[     1517.4      547.35]
14347.666666666668,430,[     223.75      818.46],[     243.21      992.69],[     960.06      795.48],[     957.06      986.62],[     1675.8      822.04],[     1652.5      992.32],[        948      371.14],[     966.89      568.26],[     363.14      550.09],[     1513.4      548.78]
14681.333333333334,440,[     224.99      818.93],[     244.53      993.28],[     961.45      795.33],[     958.59      986.62],[     1677.5      821.51],[     1654.3      991.93],[     949.48      370.55],[     968.17      567.85],[     364.79      549.81],[     1514.9      547.88]
15015.0,450,[     225.71      819.14],[     245.33      993.27],[     961.88      795.49],[     959.05      986.43],[     1677.2      821.49],[       1654       991.6],[     949.45      372.05],[     968.58      568.22],[     365.21      551.22],[     1514.5      549.07]
15348.666666666668,460,[      225.8      819.26],[     245.41      993.55],[     962.58      795.48],[     959.73      986.69],[     1678.3      821.42],[     1655.1      991.75],[     950.08      371.28],[     969.34      568.14],[     365.32      550.65],[     1515.2      548.48]
15682.333333333334,470,[     225.98      819.63],[      245.7      993.67],[     962.35      795.76],[     959.54      986.65],[     1677.2       821.6],[       1654      991.59],[     949.43      372.53],[     969.07      568.67],[     365.24      551.73],[     1513.9      549.33]
16016.000000000002,480,[     225.43      819.04],[     245.03      993.22],[        962      795.58],[     959.13      986.49],[       1677      821.61],[     1653.9      991.72],[     949.28      372.64],[     968.74      568.28],[     364.69      551.82],[     1514.2      549.75]
16349.666666666668,490,[     225.59      819.24],[     245.28      993.41],[     962.41      795.47],[     959.56      986.53],[     1677.5       821.3],[     1654.3      991.51],[     949.65      372.19],[     969.17      568.29],[      365.1      551.55],[     1514.2      549.28]
16683.333333333332,500,[     226.08      819.01],[     245.69      993.37],[     962.96      795.41],[      960.1       986.6],[     1678.4      821.38],[     1655.2      991.79],[     950.45      371.94],[     969.69      568.01],[     365.74      551.32],[     1515.3      549.23]
17017.0,510,[     226.04      819.18],[     245.64      993.61],[     962.61      795.41],[     959.78      986.74],[     1678.3      821.26],[     1655.1      991.73],[     949.92      371.82],[     969.34      568.07],[     365.54      551.31],[     1514.7      549.06]
17350.666666666668,520,[      225.2      818.91],[     244.77      993.67],[     962.75      795.17],[     959.93      986.84],[     1679.2      821.04],[       1656      991.85],[     950.22      371.13],[     969.44      567.43],[     365.17      550.92],[     1515.7      548.66]
17684.333333333336,530,[     224.19      818.37],[     243.62      993.12],[     960.58      795.23],[     957.73      986.77],[     1676.7      821.48],[     1653.7      992.21],[     948.37      372.01],[     967.21      567.58],[     364.14      551.45],[     1513.7      549.68]
18018.0,540,[     225.17      819.39],[     245.05      993.65],[     961.61      795.35],[     958.98      986.53],[     1676.3         821],[     1653.3      991.27],[      948.9      373.37],[     968.08      568.17],[     365.89      552.87],[     1512.7      550.07]
18351.666666666668,550,[     225.42      819.53],[     245.31      993.84],[     962.21      795.17],[      959.6      986.49],[       1677      820.61],[       1654      990.99],[     949.44      372.73],[      968.7      567.96],[     366.21      552.45],[     1513.2      549.39]
18685.333333333332,560,[     224.28      819.86],[     244.39      994.26],[     961.68      794.81],[     959.22      986.33],[     1677.3      819.89],[     1654.2      990.35],[     948.85      372.18],[     968.05      567.37],[     365.69      552.29],[     1512.9      548.52]
19019.000000000004,570,[     226.47      818.09],[     246.27       992.5],[      962.7      794.06],[     960.11      985.41],[     1678.2      819.89],[     1655.2      990.37],[     950.27      371.21],[     969.11      566.59],[     367.14       550.7],[     1514.7      548.09]
19352.666666666668,580,[     223.47      817.66],[     243.32      991.94],[     959.95      793.68],[     957.31         985],[       1676      819.66],[     1652.8      990.07],[     947.76      370.22],[     966.41      566.32],[     364.27      549.64],[     1512.5      547.25]
19686.333333333332,590,[     223.41      817.79],[     243.29      992.27],[     960.36      793.42],[     957.81      984.89],[     1676.2      818.91],[       1653      989.48],[     947.56      370.66],[     966.78      565.93],[      364.1      550.51],[     1511.9      547.48]
20020.0,600,[     225.36      816.26],[     244.69      991.79],[     962.47      792.84],[     959.77      984.93],[     1679.9       818.7],[     1656.9      990.19],[     949.67      369.88],[     968.97      564.14],[     364.82      549.94],[     1515.8      547.74]
20353.666666666668,610,[     225.84         816],[     245.15      991.68],[     962.68       792.8],[     960.05      985.14],[     1680.5      818.93],[     1657.7       990.7],[     950.95      369.76],[        969         564],[     366.92      549.89],[     1517.2      547.92]
20687.333333333336,620,[     224.81       817.3],[     244.62      991.98],[     961.27       793.1],[     958.77      984.66],[     1677.6      818.65],[     1654.6      989.39],[     948.51      371.35],[     967.58      565.34],[     365.58      551.29],[     1513.4      548.28]
