Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     111.02       831.4],[     130.82      1025.3],[     990.42         799],[     984.73      1018.3],[     1830.7      827.63],[     1802.3      1021.6],[     967.39      322.41],[     1001.3      540.43],[     260.87      533.88],[     1633.2       531.5]
333.6666666666667,10,[     116.32      830.35],[     135.14      1024.1],[     990.91      797.26],[     985.09      1016.2],[     1831.6      825.69],[     1802.5      1018.9],[     964.81      319.52],[     1002.1      539.08],[     257.89      530.45],[     1631.4      527.69]
667.3333333333334,20,[     127.66      833.59],[     147.09        1024],[     994.44       798.1],[     988.62      1014.6],[     1831.4      825.77],[     1800.6      1015.9],[     966.99      319.76],[       1006         543],[     265.17      528.07],[     1629.5      524.31]
1001.0000000000001,30,[     128.63      835.33],[     147.56      1026.8],[     997.06      799.46],[     991.18      1016.6],[     1834.9       826.5],[     1804.3      1017.3],[     968.27      319.31],[     1008.8      543.35],[     263.59      528.95],[     1632.4      524.51]
1334.6666666666667,40,[     117.69      834.93],[     136.38      1027.2],[     995.21      801.99],[     988.65        1020],[     1836.5      831.12],[     1806.5      1023.1],[     969.63      318.47],[     1007.3      544.95],[     257.58      528.85],[     1638.8      527.46]
1668.3333333333335,50,[     114.65       833.7],[     133.36      1025.1],[     994.87      804.39],[     987.71      1021.8],[     1835.8      836.41],[       1806      1028.2],[     973.48      319.11],[     1007.2      547.76],[     259.58      527.22],[     1643.8      530.02]
2002.0000000000002,60,[     115.03      835.51],[        134      1026.8],[     996.15      804.33],[     989.38      1021.9],[     1835.8         835],[     1806.2      1026.8],[     973.71      319.36],[     1008.3      547.46],[     260.12      528.68],[     1642.8      529.31]
2335.6666666666665,70,[      116.2      837.17],[     134.69      1029.2],[     995.62      805.75],[     988.94      1023.4],[     1833.7      835.41],[     1805.1      1027.6],[     973.02      322.61],[     1007.6      548.81],[      260.7      532.73],[     1641.4      532.27]
2669.3333333333335,80,[     106.46      833.12],[     124.69      1027.1],[     990.75      806.76],[     983.62      1026.1],[     1833.8      840.11],[     1805.9      1034.5],[     973.14      321.88],[     1002.6      548.03],[     257.65      531.74],[     1646.1      536.29]
3003.0,90,[     129.02      835.52],[     147.16      1026.6],[     1000.9      803.78],[     994.79      1019.8],[     1829.9      832.63],[     1803.3      1023.3],[     978.81       326.1],[     1012.4      548.39],[     273.86      535.43],[     1641.6      533.32]
