Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     212.13      784.98],[     231.04      972.68],[     983.42      766.91],[     980.73      977.49],[     1750.3       807.6],[     1727.8      993.38],[     990.24       285.8],[     988.54      523.24],[     379.33      468.89],[     1592.7      477.45]
333.6666666666667,10,[     208.71      783.39],[     227.51      971.47],[     982.56      767.36],[     979.44      978.15],[       1751      809.41],[     1728.5       995.9],[     991.61      286.31],[     987.87       522.9],[     378.35      468.71],[     1595.9      479.51]
667.3333333333334,20,[     208.49      785.81],[     227.41      974.74],[     983.73       767.9],[     981.05       979.5],[     1753.3      808.44],[       1731       995.5],[     991.41      285.76],[     988.79      522.48],[      377.9      469.73],[     1596.2      478.12]
1001.0000000000001,30,[     210.16      786.55],[      229.2      975.69],[     984.56      767.32],[      982.2      979.11],[     1754.3      806.88],[     1732.2      993.88],[     990.71      285.21],[     989.44      521.88],[     378.48      469.82],[       1595      476.65]
1334.6666666666667,40,[     210.25      786.11],[     229.29      975.32],[      984.9      767.47],[     982.45      979.34],[       1755      807.56],[     1732.8      994.78],[     992.04      285.45],[     989.76      521.78],[     379.69       469.6],[     1596.6      477.12]
1668.3333333333335,50,[     210.38      788.09],[     229.36      976.89],[     985.25      768.41],[     982.71      979.87],[     1754.6      807.45],[     1732.1      994.19],[     990.41      286.05],[     990.46       523.2],[     376.77      470.64],[     1594.6      477.15]
2002.0000000000002,60,[     207.05      790.05],[     226.64      978.19],[     985.32      769.64],[     982.69      980.56],[     1753.9      808.05],[     1730.8      994.19],[     988.98      287.41],[      990.8      524.94],[     373.08       472.1],[     1592.5      477.93]
2335.6666666666665,70,[     211.86      791.95],[     230.91      979.84],[     985.72      770.65],[     983.12      981.07],[     1752.9      807.96],[     1729.7       993.5],[     987.66      288.92],[     991.39      526.51],[     373.66      473.78],[     1590.1      478.59]
2669.3333333333335,80,[     215.74      792.03],[     232.49      979.37],[     983.56      771.11],[     981.07       981.6],[     1752.3      808.81],[     1731.2      994.98],[     987.72      288.24],[     989.23      527.58],[     376.33      473.18],[       1593       479.8]
3003.0,90,[     212.58      789.09],[     229.69      977.02],[     983.36      768.52],[     980.88      979.45],[       1753      806.24],[     1731.9      993.11],[     988.19      286.34],[     988.96      524.07],[      375.5      471.63],[     1593.8      478.34]
3336.666666666667,100,[     215.41      786.18],[     231.22      974.61],[     982.35      768.49],[     979.43      979.86],[     1752.7      808.25],[     1731.7      996.09],[     989.79      287.23],[     988.02      523.95],[      377.6      471.63],[     1596.4      481.74]
3670.3333333333335,110,[     204.48      786.56],[     221.14      978.77],[     980.82      771.33],[     977.43      985.37],[     1756.2      811.04],[     1734.4      1001.7],[     990.56      287.74],[     986.67      522.56],[     371.36      472.68],[     1600.2      484.87]
4004.0000000000005,120,[      198.3      785.74],[     215.13      978.92],[     980.08      769.76],[     976.74      984.85],[     1758.4      808.82],[     1736.6      1000.5],[     989.51      284.85],[     985.98      519.49],[     366.37      471.53],[     1601.6      482.74]
4337.666666666667,130,[     205.13      784.59],[     221.11      977.56],[     979.18      768.25],[     975.94      982.69],[     1756.3      806.59],[     1734.7      997.73],[     987.61      284.97],[     985.07      518.64],[     368.82      471.19],[     1598.5      481.89]
