Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     195.33      782.03],[     214.82      973.82],[     979.88      753.75],[     978.62      965.02],[     1755.4      783.03],[     1731.3      970.18],[     967.46      271.61],[     985.64      502.93],[     342.63      462.66],[     1579.7      459.55]
333.6666666666667,10,[     197.34      780.15],[     216.77      971.63],[     981.26      752.04],[     979.95      963.01],[       1756      781.42],[       1732      968.25],[     968.74      270.05],[      987.1      501.66],[     344.24      460.88],[     1580.3      457.95]
667.3333333333334,20,[     198.08      779.75],[     217.53      970.95],[     981.52      751.53],[     980.23      962.24],[     1755.5      780.79],[     1731.6      967.39],[     968.97      269.99],[     987.36      501.57],[     344.98      460.81],[     1579.8      457.73]
1001.0000000000001,30,[     197.32      780.21],[     216.78      971.77],[     980.74      751.75],[     979.54      962.91],[     1755.2      780.76],[     1731.5      967.66],[     968.14      269.89],[     986.54      501.93],[     344.77      461.14],[     1578.5      457.71]
1334.6666666666667,40,[      196.3      780.02],[     215.78      971.88],[     980.08      751.28],[     978.95      962.66],[     1755.3      779.95],[     1731.7      967.07],[     967.22      269.77],[     985.83      501.26],[     343.87      461.53],[     1577.8      457.68]
1668.3333333333335,50,[     197.27      777.56],[     216.81      968.72],[      981.2       749.2],[     979.98      959.83],[     1756.2      778.27],[     1732.5      964.77],[     968.37       268.6],[        987      499.43],[     344.48      459.92],[     1579.8      456.57]
2002.0000000000002,60,[     197.65      776.25],[     217.29       967.5],[     981.03      747.49],[     979.96      958.41],[     1756.5      776.54],[     1732.7      963.18],[      968.3      266.25],[     986.66      497.68],[     345.35      457.62],[     1579.6      453.95]
2335.6666666666665,70,[     196.75      776.45],[     216.39      967.88],[     980.09      747.31],[     979.08      958.44],[     1755.3      776.11],[     1731.5      962.84],[     966.94      265.19],[     985.77      497.53],[     343.99      456.67],[     1577.6      452.59]
2669.3333333333335,80,[     195.46      775.89],[     214.96      968.46],[     981.77       747.5],[     980.58      960.04],[       1766      777.36],[     1742.5      964.44],[     968.21      263.57],[     987.48      496.38],[     342.85      456.06],[     1587.3      452.95]
3003.0,90,[     193.37      774.78],[      212.8      970.52],[     987.72      747.28],[     986.49      963.19],[     1798.3      779.38],[     1775.2      967.26],[     972.43      259.24],[     993.13      491.58],[     340.05      454.88],[     1616.2      453.23]
3336.666666666667,100,[     192.44      774.63],[     211.75      971.19],[     988.37      747.19],[     987.11      963.87],[     1805.2      779.48],[     1781.9      967.82],[     972.49      258.29],[      993.8       490.5],[     338.35      454.84],[     1621.2      453.38]
3670.3333333333335,110,[     191.96      776.16],[     211.06      972.87],[     987.25      749.22],[     985.92      965.96],[     1801.7      781.69],[     1778.4      970.51],[     972.28      260.14],[     992.71      492.47],[     338.35      456.21],[     1618.7      455.18]
4004.0000000000005,120,[     194.29         777],[     213.64      972.03],[     986.37      748.96],[     985.05      964.22],[     1786.7       780.2],[     1763.8      967.86],[     971.72      261.64],[        992      494.51],[     341.14      456.61],[       1607       454.2]
4337.666666666667,130,[     195.12      776.92],[     214.69      971.71],[     986.83      748.43],[     985.52      963.87],[     1779.2      779.71],[     1757.6      966.39],[     971.94      261.08],[     992.42      494.45],[      342.6      456.01],[     1603.6      452.81]
