Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     93.295       811.9],[     108.75      1008.5],[     884.31      812.02],[     876.79      1027.3],[     1680.1      862.44],[     1653.1      1058.7],[     899.37      329.39],[      893.2      560.25],[     265.04      508.91],[     1530.7      541.17]
333.6666666666667,10,[     89.059      806.12],[      103.1      1002.8],[      882.3      806.94],[     874.75      1022.6],[     1681.4      858.19],[     1654.6      1054.8],[     898.03       322.2],[     891.06      555.25],[     259.74      503.43],[     1532.8      536.23]
667.3333333333334,20,[     80.256       810.3],[     90.996      1007.9],[     882.19      810.31],[     875.23      1027.7],[     1688.6      861.48],[     1663.3        1059],[     897.86       320.7],[     890.34      558.19],[     247.47      507.57],[       1542      538.75]
1001.0000000000001,30,[     34.992      811.47],[     47.371        1011],[     878.82      809.68],[      872.4      1030.5],[     1699.7      860.75],[     1675.7      1061.1],[     896.53      314.48],[     886.13       553.5],[     214.69      509.26],[     1556.6      538.49]
1334.6666666666667,40,[     66.265      811.73],[     78.641      1009.6],[     879.82      808.81],[     873.88      1027.4],[       1690      858.83],[     1664.8      1056.5],[     895.05      318.64],[     886.98      556.53],[     237.49      508.29],[     1542.4      536.39]
1668.3333333333335,50,[     80.122      806.68],[     90.804      1005.5],[     881.18      806.19],[     874.84      1024.5],[     1689.5       857.2],[     1664.6      1055.3],[      896.5      318.79],[     888.67      553.46],[     246.12      506.07],[     1542.5      536.59]
2002.0000000000002,60,[     90.951      806.34],[     101.97      1004.6],[      884.6      806.48],[     878.18      1023.8],[     1690.3      857.78],[     1666.1      1055.2],[     901.43      321.22],[     892.05      554.52],[     257.56      506.32],[     1545.9      537.78]
2335.6666666666665,70,[     87.645      806.89],[     99.981      1004.3],[     881.83      807.41],[     875.28        1024],[     1684.7      859.32],[     1660.1      1056.1],[     899.17      323.42],[     889.34      556.24],[      256.6      507.06],[       1541      539.35]
2669.3333333333335,80,[     86.015       806.8],[     99.767      1003.7],[     881.69      806.61],[     875.16      1022.9],[       1682      857.94],[     1657.1      1054.4],[     898.27      323.68],[     889.29      555.61],[     256.86      506.53],[       1537      538.17]
3003.0,90,[      91.41      807.27],[     105.86      1003.2],[      884.9      806.36],[     878.45      1021.7],[     1682.9      856.92],[     1657.8      1052.4],[     900.68      323.95],[     892.57      556.36],[     262.31      505.83],[     1536.9      536.62]
