Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     202.52      808.33],[     218.71      1000.3],[     971.84      805.73],[     965.94      1017.7],[     1750.5         855],[     1724.9      1046.7],[     987.26      327.33],[     979.24      560.34],[     374.07      502.46],[     1602.3      531.12]
333.6666666666667,10,[     201.56      810.29],[     217.65      1002.5],[     970.27      806.92],[     964.65      1019.2],[     1748.8      855.51],[     1723.7      1047.4],[     986.03      328.85],[     977.38      561.25],[     373.95      504.61],[     1600.8      532.22]
667.3333333333334,20,[     203.56      810.87],[     220.04      1002.8],[     972.57      807.67],[     966.86      1019.8],[     1750.1      856.41],[     1724.6      1048.2],[     987.65       329.8],[     979.83      562.11],[     375.76      504.88],[     1601.1      532.74]
1001.0000000000001,30,[     207.63      809.07],[      225.3      999.58],[     973.51      805.08],[     967.57        1016],[     1748.4      854.25],[     1720.6      1044.9],[     986.79      327.57],[     981.37      560.53],[     378.06      499.49],[     1595.9      528.17]
1334.6666666666667,40,[     201.76      810.01],[     218.13      1001.9],[     971.02      806.29],[     965.28      1018.2],[     1747.8      854.48],[     1722.4      1046.1],[     985.25      327.72],[     978.43       560.9],[     372.63       503.2],[     1598.6      530.45]
1668.3333333333335,50,[     201.51       812.1],[     218.45      1003.7],[     971.28      808.16],[      965.5        1020],[     1748.4      856.32],[     1722.2      1047.7],[     984.44      330.08],[     978.83       563.1],[     372.19      505.19],[     1596.7      532.31]
2002.0000000000002,60,[     202.27      811.61],[     219.25        1003],[     972.22       807.9],[     966.32      1019.5],[     1748.8      856.22],[     1722.3      1047.5],[     985.36      330.02],[     979.92      563.03],[     372.74      504.79],[     1597.2      532.28]
2335.6666666666665,70,[     200.74      810.87],[     217.59      1002.6],[        971      806.96],[     965.13      1018.9],[     1748.6      855.08],[     1722.1      1046.6],[     983.86      328.66],[     978.71      561.66],[     370.86      503.79],[     1596.4      530.97]
2669.3333333333335,80,[     200.59      809.86],[     217.11      1001.8],[     970.34      806.88],[     964.37      1018.7],[     1748.3      855.65],[       1722      1047.3],[     983.96      329.56],[     977.95      561.56],[     370.82       504.6],[     1597.3      532.75]
3003.0,90,[     202.11      809.19],[     217.49      1002.1],[     971.11      806.83],[     965.08      1019.2],[     1749.2      855.68],[     1724.1      1048.2],[     985.73      328.68],[     978.72      560.37],[     371.63      504.21],[     1600.9      532.81]
3336.666666666667,100,[     202.26       806.2],[     218.21      999.87],[     971.29      804.44],[     964.89      1017.9],[     1750.9      855.43],[     1723.9      1049.1],[     986.69      321.16],[      979.4      556.31],[     372.72      494.46],[     1601.6       525.7]
3670.3333333333335,110,[     201.82      807.09],[     218.24      1000.1],[     970.31         805],[     964.04      1018.2],[     1749.6      856.11],[     1722.3      1049.2],[     985.49      321.36],[     978.29       557.7],[     372.78      494.53],[     1599.3      525.43]
4004.0000000000005,120,[     200.79      810.89],[     217.01      1003.7],[     971.02      807.78],[     965.05      1020.6],[       1750      856.46],[     1723.7        1049],[     984.34      328.31],[     978.76      561.39],[     370.79      503.83],[       1598      531.79]
