Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     106.15      753.62],[     134.51      977.94],[     982.04      731.26],[     983.96      974.56],[     1869.6      758.39],[     1848.9      981.38],[     986.24      311.84],[     980.34      442.69],[     346.36      534.37],[     1654.4      529.57]
333.6666666666667,10,[     106.13      753.54],[     134.38      977.61],[     981.28       731.3],[      983.1      974.29],[     1868.3       758.2],[     1847.3      981.21],[     985.37      312.42],[     979.74      442.97],[     345.65       534.8],[     1652.8      530.18]
667.3333333333334,20,[     106.82      753.42],[     134.94      977.34],[     981.22      731.15],[     983.04      974.08],[     1867.6       758.1],[     1846.7         981],[     985.44      312.28],[     979.68      442.89],[     346.01      534.58],[     1652.6      529.95]
1001.0000000000001,30,[     107.08      753.59],[     135.27      977.47],[     981.43      731.21],[     983.29      974.08],[     1868.2       758.2],[     1847.4      980.94],[     985.75      312.14],[     979.83       443.1],[     346.53      534.44],[     1653.3       529.7]
1334.6666666666667,40,[     107.18      753.57],[     135.38      977.52],[     981.28      731.26],[     983.12      974.12],[     1868.4      758.15],[     1847.5         981],[     985.24      312.35],[     979.71      443.18],[      346.2      534.72],[     1652.7      530.09]
1668.3333333333335,50,[     106.96      753.87],[     135.31      977.51],[     981.46      731.55],[     983.31      974.14],[     1867.7      758.52],[     1846.8      981.04],[     985.63      312.71],[     979.89      443.84],[     346.58      534.84],[     1652.5      530.19]
2002.0000000000002,60,[     106.87      753.79],[     135.18       977.5],[     981.33      731.35],[     983.16       974.1],[       1868      758.24],[     1846.9      980.98],[      985.4      312.41],[     979.79      443.38],[      346.2      534.71],[     1652.5      530.04]
2335.6666666666665,70,[      107.2      753.75],[     135.39      977.67],[      981.1      731.27],[        983      974.12],[       1868      757.99],[       1847       980.8],[     984.59      312.51],[     979.51      443.27],[     345.74      534.99],[     1651.7      530.12]
2669.3333333333335,80,[     106.11      754.19],[     134.67      977.96],[     981.52      731.37],[     983.47      974.25],[     1868.8      758.15],[     1847.8      980.64],[     984.69      312.35],[     979.88      443.52],[     345.39      535.07],[     1652.3      529.97]
3003.0,90,[      106.9       753.8],[     135.18      977.83],[     981.19      731.21],[     983.12      974.13],[     1868.1      757.82],[     1847.2      980.63],[     984.41      312.43],[     979.58       443.2],[     345.48      535.03],[     1651.6      530.01]
3336.666666666667,100,[     106.52      753.84],[     134.89      977.79],[      981.6       731.2],[     983.52      974.22],[     1868.9      758.03],[       1848      980.78],[     985.31      312.08],[     979.96      443.12],[     345.97      534.76],[       1653      529.81]
3670.3333333333335,110,[     106.54      753.39],[     134.86      977.41],[     981.35      731.06],[     983.24      974.01],[     1868.5         758],[     1847.7      980.83],[     985.49      311.93],[      979.7      443.06],[     346.38      534.37],[     1652.9      529.68]
4004.0000000000005,120,[     106.58      753.57],[     134.89       977.6],[     981.41      731.16],[     983.31      974.15],[     1868.8      758.02],[     1847.9      980.98],[     985.48       311.8],[     979.79      443.11],[     346.21      534.37],[       1653      529.66]
4337.666666666667,130,[     106.97      753.76],[     135.34      977.46],[     981.03      731.18],[     982.94      973.95],[       1868         758],[     1846.9      980.72],[     985.13      311.77],[     979.42       443.5],[     346.46      534.19],[       1652      529.44]
4671.333333333333,140,[     106.37      753.02],[     134.68      977.25],[     981.27      730.82],[     983.15      973.89],[     1868.7      757.72],[     1847.7      980.76],[     985.19      311.61],[     979.64       442.7],[     345.95      534.08],[     1652.4       529.5]
5005.0,150,[     105.35      753.54],[     134.16      977.31],[     981.15      730.81],[     983.16      973.65],[     1868.7      757.67],[     1847.5      980.28],[     984.84      311.69],[     979.43      443.11],[     345.86      533.93],[     1651.7      528.93]
5338.666666666667,160,[     105.52      752.02],[      133.6      977.17],[     981.39       730.4],[     983.27      973.89],[     1869.6      757.19],[       1849      980.98],[     985.59      311.04],[     979.72      441.76],[     345.48      533.67],[       1653      529.23]
5672.333333333333,170,[     103.79      751.24],[     132.05      977.51],[     981.52      730.07],[     983.65      973.98],[     1870.1      756.77],[     1850.1      981.28],[     986.26      311.01],[     979.47      441.01],[     346.07       533.2],[     1652.4      528.37]
6006.0,180,[     103.92      751.77],[     132.01      977.78],[     980.84      730.04],[     983.14      973.51],[     1869.5      756.37],[       1850      980.62],[     986.36      309.92],[     978.62      441.44],[     346.48      531.99],[     1652.2      526.23]
6339.666666666667,190,[     104.73       751.9],[     132.51      977.37],[     980.17      730.37],[     982.29      973.36],[     1867.8      756.76],[     1848.3      980.75],[     986.57      310.08],[     978.13      442.54],[     346.82      532.03],[       1652      526.69]
6673.333333333334,200,[      104.7      751.52],[     131.97      977.22],[     980.53      730.62],[     982.47      973.57],[     1867.3       757.2],[     1848.5      981.21],[     987.65      309.29],[     978.64       442.7],[     346.43      531.88],[     1654.1      527.02]
7007.000000000001,210,[     104.81      750.99],[     131.92      976.88],[     980.79      730.27],[     982.64      973.23],[     1866.9      756.72],[     1848.1      981.11],[     988.43      309.24],[     978.99      442.09],[     346.69      531.65],[     1654.2      526.82]
7340.666666666667,220,[     105.08      750.88],[     131.95       976.9],[     980.77      730.41],[     982.57      973.42],[     1866.5      756.91],[     1847.7      981.46],[     988.36      309.08],[     979.02      442.27],[     346.31      531.56],[     1653.8      526.91]
7674.333333333334,230,[     104.86      750.26],[     131.92      976.92],[     981.45      729.83],[     983.33      973.27],[     1867.5      756.12],[     1848.6      981.21],[     988.24      309.67],[     979.64      440.81],[     346.14      532.01],[     1653.3      527.14]
8008.000000000001,240,[     105.05      749.71],[     132.41      976.82],[     981.51      729.39],[     983.46      973.43],[       1869      755.93],[     1849.6      981.53],[     988.52      309.66],[     979.57      439.55],[     347.47      531.48],[     1653.6       526.9]
8341.666666666666,250,[     105.98      750.28],[     133.56      977.18],[     982.59      729.35],[     984.63      973.38],[     1869.8       755.7],[     1850.2      981.02],[     988.94      309.55],[     980.62      439.65],[     348.14      531.43],[     1653.6      526.32]
8675.333333333334,260,[      105.6      749.95],[     133.02      977.33],[     981.92      729.23],[     984.13      973.49],[     1869.7      755.34],[     1850.3      980.96],[     986.77      310.11],[     979.79      439.76],[     346.37      532.62],[     1651.3      527.39]
9009.0,270,[     104.63      751.12],[     132.15      978.41],[     981.31      729.95],[     983.53      974.33],[       1871      756.12],[     1851.5      981.52],[     986.23      309.94],[     979.17      440.17],[     345.53      532.55],[     1652.5      527.04]
9342.666666666666,280,[     104.75      753.07],[     132.89      979.41],[     981.23      729.67],[     983.89      973.82],[     1871.3      755.36],[     1851.7      979.71],[     985.48      307.11],[     978.77      440.72],[     346.13      529.95],[     1651.7      522.48]
9676.333333333334,290,[     104.97       753.8],[     133.42         979],[     981.54      730.59],[     984.03      973.87],[     1870.7      756.64],[     1850.7      980.04],[     986.24      309.06],[     979.22      442.42],[     347.09      530.99],[     1652.2      524.01]
10010.0,300,[      105.8      753.62],[     134.35      978.38],[     981.63      730.18],[     984.13      973.11],[     1870.1      756.17],[     1850.3      979.26],[     987.05       308.9],[      979.3      442.46],[     348.68      530.65],[     1652.6      523.59]
10343.666666666668,310,[     105.13      752.91],[      133.1      978.76],[     981.05      730.49],[     983.42      973.91],[     1869.6      756.45],[     1850.1      980.46],[     986.19      310.05],[     978.81      441.87],[     346.76       532.2],[       1652      525.62]
10677.333333333334,320,[     104.15      750.24],[     131.73      977.41],[     981.73      729.24],[     983.83      973.49],[     1870.7      755.75],[     1851.5      980.94],[     987.62      309.16],[     979.65      438.88],[     346.25      531.39],[     1654.6      525.97]
11011.000000000002,330,[     104.93      749.25],[     132.49      976.41],[     982.34      728.61],[     984.32      972.75],[     1869.4      755.06],[     1850.1      980.64],[     989.41      309.36],[     980.38      438.31],[     348.06      531.26],[     1654.5      526.24]
11344.666666666666,340,[     106.33      747.84],[        133      976.09],[     981.81      728.21],[     983.71      972.81],[       1869      754.36],[       1850      980.94],[     987.83      310.11],[     979.93      437.55],[     346.51       532.7],[     1652.7      528.27]
11678.333333333334,350,[     106.49       748.1],[      132.3      976.65],[     981.66      729.07],[     983.35      973.71],[     1867.8      755.42],[     1849.7      982.35],[     989.68      308.78],[     979.95      438.22],[     346.61      532.14],[     1655.7      528.12]
12012.0,360,[     105.86      747.42],[     131.46       976.6],[     981.74      728.99],[     983.31      974.07],[     1868.4      755.45],[     1850.4      983.06],[     990.54      308.96],[     980.06       437.3],[     346.81      532.41],[       1657       528.8]
12345.666666666668,370,[     106.06      747.97],[      132.3      976.53],[     981.61      728.76],[     983.45      973.44],[     1868.4      754.94],[       1850       981.9],[     989.06      309.83],[     979.73      437.98],[     346.99      533.01],[     1654.4      528.79]
12679.333333333334,380,[     105.78      747.66],[     131.94      976.61],[      981.9      728.65],[     983.68      973.81],[     1870.3      755.02],[     1851.7      982.24],[     988.94      309.25],[     980.09      437.27],[     346.19      532.66],[     1655.7      528.74]
13013.0,390,[     106.45      747.93],[     132.49      976.85],[     981.76      728.63],[     983.62      973.66],[     1869.4      754.79],[       1851      982.08],[     989.37      309.01],[     979.86      437.44],[     347.12      532.43],[     1655.4      528.07]
13346.666666666668,400,[     105.86      747.58],[     131.81      976.83],[     982.05      728.53],[      983.8       973.9],[     1870.9      754.82],[     1852.5      982.36],[      989.7      308.75],[     980.25      436.71],[      346.5      532.41],[       1657      528.33]
13680.333333333334,410,[     105.47      747.94],[     131.56      976.79],[     981.89      728.68],[     983.67      973.68],[     1869.9      754.92],[     1851.5      982.16],[     989.41      308.78],[     980.08      437.44],[     346.16      532.28],[       1656      528.02]
14014.000000000002,420,[     105.51      747.66],[     131.63      977.27],[     982.64      728.57],[      984.5       974.2],[     1871.4       754.8],[     1852.9      982.52],[     988.91      309.06],[     980.77      436.45],[     345.41      532.78],[     1655.8      528.48]
14347.666666666668,430,[     106.52      747.94],[      132.6      977.46],[     982.12       728.4],[     984.15      973.83],[     1870.1       754.2],[     1851.7      981.93],[     988.44      309.28],[     980.13      436.61],[     346.16      532.89],[     1654.1      527.96]
14681.333333333334,440,[     106.79      747.83],[     132.88      977.29],[     982.33       728.5],[     984.33      973.89],[     1869.6      754.33],[     1851.1      982.07],[     988.57      309.76],[     980.36      436.81],[     346.46      533.15],[     1653.4      528.38]
15015.0,450,[     106.68      747.53],[     132.57      977.34],[      982.4      728.39],[     984.38      973.95],[     1870.4      754.28],[     1852.1      982.18],[     988.19      309.41],[     980.45      436.34],[     345.47      533.11],[     1654.1      528.44]
15348.666666666668,460,[     105.76      747.93],[     132.04      977.33],[     982.02      728.37],[     984.13      973.67],[     1869.4      754.18],[       1851      981.84],[     988.05      309.35],[     979.97      436.79],[     345.74      532.75],[     1652.9      527.73]
15682.333333333334,470,[     105.86      747.35],[     131.81      977.08],[     982.29      728.35],[     984.18      973.92],[       1870       754.4],[     1851.6      982.41],[     988.74       308.9],[     980.41      436.26],[     345.43      532.36],[     1654.4      527.93]
16016.000000000002,480,[     105.49      747.28],[     131.89      976.82],[     982.56      727.75],[     984.54      973.21],[     1870.8      753.57],[     1852.1      981.29],[     988.25      309.27],[     980.64      435.63],[     345.34      532.54],[     1653.8      527.64]
16349.666666666668,490,[     106.33      747.41],[     132.48      976.88],[      982.6      728.05],[     984.54      973.33],[     1869.8      753.81],[     1851.1      981.42],[     987.74       309.6],[     980.76      436.17],[     344.75      532.82],[     1652.8      527.98]
16683.333333333332,500,[     105.39      746.74],[     131.16      976.35],[     982.01      728.24],[     983.67      973.68],[     1869.2      754.72],[       1851      982.56],[     989.64      308.34],[      980.3      435.96],[     345.59      531.68],[     1656.1      527.87]
17017.0,510,[     106.65      748.96],[     133.55      976.81],[     982.89      728.45],[     984.83      972.85],[     1868.2      754.38],[     1849.2      980.57],[     989.27      309.26],[     981.04      437.59],[     347.41      531.56],[     1653.3      526.16]
17350.666666666668,520,[     106.21      748.18],[     132.82      976.61],[      982.6       728.9],[     984.42      973.78],[     1870.6      755.75],[     1851.8      982.19],[     988.97       309.3],[     980.74      437.43],[     346.65      531.71],[     1655.9      527.65]
17684.333333333336,530,[     104.75      750.28],[     132.24       978.5],[     981.79      727.84],[     984.32      973.37],[     1873.5      753.55],[     1854.2      979.56],[     986.56      306.01],[     979.42      436.22],[     345.85      529.49],[     1654.8      522.49]
18018.0,540,[     104.55      751.34],[     132.65      978.34],[     982.02      728.73],[     984.59      973.41],[     1872.5      755.08],[     1853.4      979.93],[      988.3      306.36],[     979.51      438.18],[     348.53      529.07],[     1656.3      522.23]
18351.666666666668,550,[     103.87      749.77],[     131.28      977.74],[     982.36      728.06],[     984.68      973.17],[       1873      754.32],[     1854.2      979.81],[     987.19      306.29],[     980.14      436.69],[     344.97      529.78],[     1656.4      523.39]
18685.333333333332,560,[     104.52      748.18],[     131.84      976.66],[     983.39      728.07],[     985.29      973.37],[     1873.4      754.97],[     1854.3      981.51],[     990.93      307.83],[     981.43      435.65],[     348.04      530.16],[     1659.2      525.56]
19019.000000000004,570,[     104.67      748.24],[      131.8      976.38],[     982.99      728.18],[     984.84      972.99],[     1871.8      754.89],[     1852.7      981.14],[     989.85      308.23],[     981.13      436.55],[     346.73      530.63],[     1657.3         526]
19352.666666666668,580,[     105.88      747.74],[     132.22      976.32],[     982.59      728.11],[     984.41      972.98],[     1870.6      754.49],[     1852.1      981.15],[     989.28      307.47],[     980.82      436.79],[     345.91      530.76],[     1656.7      526.33]
19686.333333333332,590,[     106.29      748.18],[      132.7      976.29],[     982.43      728.69],[     984.21      973.16],[     1870.1      755.23],[     1851.5      981.38],[      988.8      308.41],[     980.69      438.01],[     345.86      531.46],[       1656      527.31]
20020.0,600,[     105.95      747.98],[     132.17      976.16],[     982.41      728.73],[     984.11      973.22],[     1870.4      755.35],[     1851.7      981.82],[     989.36      308.14],[     980.71      438.06],[     345.72      531.04],[     1656.4      527.04]
20353.666666666668,610,[     106.08      747.22],[      132.2       976.8],[     982.69         728],[     984.55      973.44],[     1870.4      754.11],[       1852      981.86],[      989.6      308.57],[     980.85      435.53],[     346.34      531.79],[       1656      527.25]
20687.333333333336,620,[     105.22      747.59],[     131.57      976.54],[      982.3      728.27],[     984.04      973.46],[     1871.4      754.81],[     1852.6      981.94],[     989.14      308.55],[     980.55      436.21],[      345.5      531.47],[     1656.8      527.25]
21021.0,630,[     105.43      748.75],[     132.53      976.78],[     982.36      728.01],[      984.4       972.7],[     1870.8      754.12],[     1851.7       980.4],[     988.72      308.32],[     980.42      436.86],[     346.64      530.97],[     1655.1      525.59]
21354.666666666668,640,[     104.87      747.61],[     131.48      976.54],[      982.5         728],[     984.31      973.23],[     1871.7      754.49],[     1852.9      981.56],[     989.33      308.22],[     980.69      435.78],[     345.83      531.05],[       1657       526.6]
21688.333333333336,650,[     105.08      747.84],[     131.81      976.23],[     982.24      728.13],[     984.08      973.03],[     1871.2      754.83],[     1852.4      981.53],[     989.81      307.83],[     980.39      436.48],[     346.83      530.37],[     1657.3      526.01]
22022.000000000004,660,[      105.4      747.11],[     131.55       976.1],[     982.31      728.43],[     983.93      973.62],[     1869.8      755.34],[     1851.3      982.75],[     991.13      307.85],[      980.6      436.21],[     347.37      530.45],[       1658      526.87]
22355.666666666668,670,[        105      748.14],[     131.68      977.46],[     982.85      727.64],[     984.89      973.27],[     1871.1       753.3],[     1852.3      980.72],[     988.47      308.07],[     980.94      435.11],[     345.28      531.54],[     1654.8      525.88]
22689.333333333332,680,[     104.55      749.62],[      131.7      978.36],[     982.36      728.45],[      984.6         974],[     1872.7      754.62],[     1853.6         981],[     986.71      307.54],[     980.27      436.26],[     344.24      530.71],[     1654.9      524.73]
23023.0,690,[     104.28      750.66],[     131.81      978.15],[     981.82      728.65],[     984.23      973.41],[     1871.6      754.83],[     1852.6       980.1],[     986.89      306.78],[     979.51      437.99],[     345.67      529.88],[     1654.6      523.27]
23356.666666666668,700,[     104.54      750.05],[     131.77      978.21],[     982.01      728.25],[      984.3      973.29],[     1871.7      753.99],[     1852.6         980],[     986.85       307.3],[     979.91      436.59],[     344.78      530.32],[     1654.2      523.66]
23690.333333333336,710,[     105.47      749.15],[     133.24      975.94],[     982.28      728.16],[     984.31      972.43],[     1870.4      755.15],[       1851      980.58],[     991.52      307.03],[     980.18      437.56],[     351.06      528.41],[     1657.6      523.51]
24024.0,720,[     105.33      749.37],[     132.82      976.21],[     982.39      727.62],[     984.43      971.51],[     1869.9      753.45],[     1850.7       978.5],[     988.48       307.7],[     980.53      437.49],[     346.68      530.29],[     1654.9      524.21]
24357.666666666668,730,[     105.62      747.94],[     132.48      975.93],[      982.7      727.14],[     984.67      971.68],[     1870.4      752.94],[     1851.7      979.07],[     989.01      307.25],[     980.89      436.02],[     346.36      530.46],[       1656       524.9]
24691.333333333336,740,[     106.74      747.99],[     133.52      976.47],[     982.75      727.03],[     984.93      971.94],[     1871.2      752.44],[     1852.3      979.02],[     987.43      307.55],[     980.78      436.08],[     345.77      531.07],[     1653.5      525.24]
25025.000000000004,750,[     106.39      747.38],[     133.04      976.42],[     982.74      727.13],[      984.8      972.43],[     1871.6      752.85],[     1852.7      979.86],[     987.67      308.32],[     980.81      435.47],[     345.74      531.74],[     1654.1      526.52]
25358.666666666668,760,[      105.9      747.93],[     133.03      976.48],[     982.57      726.99],[     984.83      971.98],[     1870.8      752.46],[     1851.8      978.92],[      986.6      308.69],[      980.5      435.89],[     345.48      532.04],[     1652.2      526.15]
25692.333333333332,770,[     106.04      747.45],[     132.74      976.57],[     982.74      727.06],[     984.89      972.38],[     1871.6      752.71],[     1852.7      979.94],[     987.79      308.08],[     980.74      435.21],[     345.66      531.37],[     1653.9      525.84]
26026.0,780,[     105.98      747.49],[     132.27      976.78],[     982.07      727.14],[     984.14      972.59],[     1870.5      752.55],[     1851.9      980.13],[     988.22       307.6],[     980.14      435.23],[      345.8      531.35],[     1654.3      525.77]
26359.666666666668,790,[     105.47      748.36],[     132.33       977.6],[     982.95      726.98],[     985.27      972.45],[     1869.9      751.83],[     1851.1      979.11],[     986.82      308.07],[     980.91      435.18],[     344.49      532.04],[     1651.3      525.26]
26693.333333333336,800,[     105.11      749.77],[     132.54       978.2],[     982.61      727.93],[     985.02      973.26],[       1873      753.62],[     1853.7      979.63],[     985.65       307.4],[     980.45      436.49],[     344.02      530.81],[     1653.2      524.26]
