Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     45.903      465.68],[      60.29       612.7],[     606.63      439.97],[     608.77      591.63],[     1133.3      437.56],[     1122.6      578.53],[     563.68      199.89],[     608.19      257.33],[     143.75      353.74],[     961.94      328.87]
333.6666666666667,10,[     46.281      465.68],[     60.613      612.74],[      606.7      439.98],[     608.85      591.67],[     1133.2      437.55],[     1122.5      578.56],[      563.7      199.81],[     608.25      257.36],[     143.92      353.66],[     961.79      328.79]
667.3333333333334,20,[     46.469      465.84],[     60.818      612.96],[     606.86      440.03],[     609.04      591.75],[     1133.4      437.53],[     1122.7      578.57],[     563.73      199.87],[     608.38      257.35],[     144.02      353.78],[      961.8      328.77]
1001.0000000000001,30,[     46.691      465.83],[     61.025      612.89],[     606.82      440.04],[        609      591.72],[     1133.3      437.56],[     1122.6      578.55],[     563.71         200],[     608.35      257.46],[     144.18      353.85],[     961.68      328.88]
1334.6666666666667,40,[      46.43      465.62],[     60.762      612.75],[     606.94      439.95],[     609.09      591.68],[     1133.4      437.55],[     1122.8      578.61],[     563.94      199.82],[     608.48      257.25],[     144.12      353.67],[     962.04      328.81]
1668.3333333333335,50,[     46.184      465.55],[     60.487      612.67],[     606.61      440.03],[     608.74      591.74],[     1133.2       437.7],[     1122.6      578.79],[     563.93      199.93],[     608.16      257.31],[     144.15      353.68],[     962.13      328.99]
2002.0000000000002,60,[     46.091       465.8],[     60.462      612.83],[     606.69      440.09],[     608.83      591.74],[     1133.1      437.66],[     1122.4      578.67],[     563.87      199.98],[     608.23      257.44],[     144.05       353.8],[     961.92      328.92]
2335.6666666666665,70,[     46.312      466.07],[     60.687      613.07],[     606.86      440.12],[     609.04      591.73],[       1133       437.5],[     1122.3      578.44],[     563.55       200.1],[      608.4      257.58],[     143.71      354.03],[     961.33      328.85]
2669.3333333333335,80,[     46.114      465.96],[     60.508      612.97],[     606.56      440.07],[     608.75      591.71],[     1132.9      437.52],[     1122.1      578.48],[     563.44      200.04],[      608.1       257.5],[     143.75      353.91],[     961.26      328.82]
3003.0,90,[     45.926      465.74],[     60.279      612.83],[     606.54      439.99],[      608.7      591.67],[     1133.1      437.49],[     1122.4      578.54],[     563.49         200],[     608.08      257.33],[     143.64       353.9],[     961.52      328.92]
