Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     118.38      723.39],[     145.68      945.08],[     978.13      700.58],[     980.62      939.22],[     1832.4      724.27],[     1814.3      944.13],[     979.27       286.7],[     976.44      417.58],[     351.54      504.04],[     1620.3      495.49]
333.6666666666667,10,[     118.71      723.65],[     145.91       945.2],[     977.97      700.75],[     980.48      939.24],[     1832.2      724.36],[     1814.2       944.1],[     978.98       286.8],[     976.27      418.13],[     351.42      504.33],[       1620       495.7]
667.3333333333334,20,[     119.48       723.8],[     146.35      945.32],[     978.22      701.11],[     980.63      939.39],[     1831.5      724.64],[     1813.9      944.28],[     979.38      287.09],[     976.63      418.48],[     351.48       504.7],[     1620.5      496.11]
1001.0000000000001,30,[     118.59      723.47],[     145.52      945.41],[      978.1      700.71],[     980.54      939.43],[     1832.2      724.24],[     1814.6      944.28],[     979.55      286.36],[     976.45      417.45],[     351.31       504.2],[     1621.3       495.5]
1334.6666666666667,40,[      118.2      723.44],[     145.36       945.4],[     977.89      700.44],[     980.41      939.24],[     1832.5      723.85],[     1814.8      943.89],[     979.18      286.69],[     976.16      417.13],[     351.42      504.57],[     1620.8      495.67]
1668.3333333333335,50,[      118.2       723.1],[     145.36      945.13],[     977.58      700.26],[     980.11      939.12],[     1832.6      723.79],[     1814.7      943.98],[      979.2      286.39],[     975.82      416.97],[     351.74      504.11],[     1620.7      495.45]
2002.0000000000002,60,[     116.86      723.26],[     143.79      945.31],[     977.01      700.63],[     979.39      939.42],[     1831.7      724.08],[     1814.1      944.36],[     979.09      286.48],[     975.38       417.3],[     350.47      504.56],[     1621.1      496.02]
2335.6666666666665,70,[     117.12      723.29],[      144.4      944.61],[      976.3      700.48],[     978.62      939.33],[     1833.5      724.69],[     1814.7      944.62],[        978      285.31],[     974.74      418.27],[     349.98      503.12],[     1620.9      495.64]
2669.3333333333335,80,[     117.05      723.73],[     144.45      944.47],[     975.13      700.83],[     977.38      939.78],[     1834.3      725.58],[     1814.5      945.39],[     976.69      284.85],[     973.65      419.09],[     349.15      502.62],[     1620.5      495.98]
3003.0,90,[     117.65      724.13],[     144.91       944.6],[     974.78       700.9],[     977.05      940.09],[     1834.4       725.9],[     1814.3      945.73],[     976.31      283.85],[     973.29      419.17],[     349.05      501.84],[     1620.6       495.3]
