Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     11.625      378.78],[     30.275      512.91],[     538.76      359.74],[     541.56      505.93],[     1062.2      373.98],[     1050.7      506.79],[     538.44      95.428],[     536.73       187.3],[     156.34      228.65],[     931.01      219.89]
333.1666666666667,10,[     11.438      378.86],[     30.099      513.02],[     538.85      359.75],[     541.64      505.93],[     1061.9       373.9],[     1050.4      506.73],[     538.32      95.392],[     536.85      187.27],[     155.95      228.64],[     930.62      219.75]
666.8000000000001,20,[      11.07      378.82],[     29.793      512.99],[     538.78      359.74],[     541.58      506.02],[       1062      373.99],[     1050.4      506.88],[     538.38      95.011],[     536.78       187.2],[     155.88      228.16],[     930.65      219.37]
1000.0,30,[      11.19      379.05],[     29.877      513.21],[     538.62      359.83],[     541.44      506.13],[       1062      374.03],[     1050.4      506.89],[     538.19       94.82],[     536.62      187.25],[     155.78         228],[     930.69      219.09]
1333.388888888889,40,[      10.72      379.01],[     29.356      513.39],[     538.76       359.8],[     541.56      506.25],[     1062.3      373.92],[     1050.8      506.93],[     537.97      94.669],[     536.78      187.02],[     154.97       228.1],[     930.66       219.1]
1666.8111111111111,50,[     10.793       379.1],[     29.429      513.45],[     538.77      359.91],[     541.57      506.33],[     1062.2      374.05],[     1050.6      507.03],[     537.98      94.814],[     536.79      187.15],[     155.02       228.2],[     930.57      219.22]
2000.2666666666667,60,[     10.992      379.04],[     29.643      513.42],[     538.81      359.84],[     541.64      506.28],[       1062      373.98],[     1050.5      507.01],[     538.16      94.777],[     536.81      187.05],[      155.4      228.12],[     930.59      219.12]
2333.5222222222224,70,[     11.641      379.33],[     30.251      513.54],[     538.79       360.1],[     541.61      506.38],[     1061.8      374.24],[     1050.4      507.12],[     538.52      95.206],[     536.78       187.5],[     156.21      228.51],[     930.94      219.53]
2666.9666666666667,80,[     11.766      379.19],[     30.392      513.32],[     538.85      359.97],[     541.64      506.17],[     1061.8       374.1],[     1050.3       506.9],[     538.54      95.308],[     536.86      187.47],[      156.3      228.55],[     930.81       219.6]
3000.3111111111116,90,[     11.923      379.21],[     30.614      513.23],[     538.98         360],[     541.78       506.1],[     1061.6      374.14],[       1050      506.85],[     538.58      95.585],[        537      187.62],[     156.47      228.69],[     930.53      219.76]
3333.722222222222,100,[     11.518       379.1],[     30.161      513.28],[     538.88      359.86],[     541.69      506.11],[     1061.8      373.97],[     1050.3      506.81],[     538.39      95.096],[     536.88      187.34],[     155.98      228.41],[     930.63      219.42]
3667.1444444444446,110,[     11.229      379.04],[     29.886      513.27],[     538.83      359.83],[     541.64      506.15],[     1061.7      373.96],[     1050.2      506.87],[     538.34      94.847],[     536.84      187.21],[     155.77      228.14],[      930.5      219.17]
4000.7000000000003,120,[     10.452      379.16],[     28.978      513.62],[     538.48      360.11],[     541.26      506.57],[       1062      374.24],[     1050.6      507.34],[        538        95.1],[      536.5      187.29],[      154.9      228.68],[     930.77      219.77]
4333.855555555556,130,[      10.81      379.18],[     29.491      513.48],[     538.96      360.04],[     541.74      506.43],[     1062.2       374.2],[     1050.8      507.18],[     538.59      95.164],[     536.97      187.34],[      155.7       228.6],[     931.09       219.7]
4667.333333333334,140,[     11.726      378.75],[     30.533      511.71],[     537.74      359.58],[     540.31      505.23],[     1061.4      374.31],[     1049.6      506.38],[     538.29      96.106],[     536.02      188.63],[     157.01      228.61],[     930.21      220.49]
5000.655555555555,150,[     10.643      378.94],[     29.118      513.55],[     538.92      359.88],[     541.69      506.45],[     1062.6      373.91],[     1051.4      507.15],[     538.66      95.023],[     536.93      186.92],[     155.42      228.89],[     931.68      219.93]
5333.966666666667,160,[     10.638      379.31],[     29.259       513.7],[     539.02      360.06],[     541.82      506.51],[     1062.5      374.12],[     1051.2      507.15],[     538.61      95.084],[     537.02      187.34],[     155.45      228.84],[     931.43      219.78]
5667.322222222222,170,[     10.324      379.15],[     28.947      513.67],[     539.13         360],[     541.91      506.59],[     1062.7      374.13],[     1051.4      507.28],[     538.76      94.842],[     537.14      187.05],[     155.31      228.63],[      931.8      219.66]
6000.777777777778,180,[     10.424      379.18],[     29.034       513.8],[     539.07      360.08],[     541.88       506.7],[     1062.5      374.17],[     1051.2      507.39],[     538.54      95.098],[     537.06       187.1],[     155.26      228.87],[     931.28      219.87]
6334.144444444445,190,[     10.533      379.22],[     29.065      513.86],[     538.86      360.16],[     541.67      506.78],[     1062.5      374.25],[     1051.1      507.51],[     538.31      95.134],[     536.86      187.15],[     155.09      228.86],[     931.14       219.9]
6667.511111111112,200,[     10.547      379.32],[     29.142      513.78],[     538.97      360.17],[     541.76      506.65],[     1062.4      374.23],[       1051      507.31],[     538.31      95.329],[     536.98      187.34],[     155.09      229.01],[     931.04      219.99]
7000.811111111111,210,[     10.525      379.57],[     29.273      513.97],[     538.95      360.35],[     541.79       506.8],[     1062.4      374.39],[     1050.9      507.43],[     538.04       95.87],[     536.93      187.64],[     155.16      229.42],[     930.41      220.36]
7334.466666666666,220,[     10.529      379.53],[     29.208      513.96],[     538.83      360.31],[     541.67      506.78],[     1062.3      374.33],[     1050.8       507.4],[     538.02      95.616],[     536.81      187.61],[      155.1      229.26],[     930.51       220.2]
7667.666666666667,230,[     10.596      379.41],[     29.176      513.82],[     538.68       360.3],[     541.47      506.73],[     1062.2       374.4],[     1050.7      507.44],[     538.08      95.438],[     536.69      187.56],[     155.06      229.04],[     930.82      220.09]
8001.533333333335,240,[     10.327       379.2],[     28.885      513.84],[     539.02      360.11],[     541.81      506.74],[     1062.9      374.18],[     1051.5      507.44],[     538.41      95.084],[     537.03      187.16],[     154.93      228.93],[     931.42      219.97]
8334.333333333334,250,[       10.2      379.26],[     28.739      513.87],[     538.96      360.28],[     541.73      506.86],[     1062.6      374.38],[     1051.2      507.61],[     538.43      95.386],[     536.98      187.37],[     154.89      229.21],[     931.33      220.33]
8667.8,260,[     10.253       379.3],[     28.749      513.89],[      538.8      360.29],[     541.56      506.82],[     1062.3      374.34],[       1051      507.53],[     538.24      95.525],[     536.83      187.36],[     154.78      229.36],[     931.17       220.4]
9001.077777777778,270,[     10.333      379.04],[     28.842      513.68],[     538.97      360.04],[     541.71      506.62],[     1062.5       374.1],[     1051.1      507.32],[     538.37      95.361],[     537.01      186.96],[     154.84      229.15],[     931.34       220.2]
9334.744444444445,280,[     10.988      379.18],[     29.761      512.26],[     537.38      360.02],[     539.91      505.75],[       1061      374.64],[     1049.1      506.75],[      537.6      96.818],[     535.71      188.73],[        156      229.37],[      929.6      221.15]
9667.833333333334,290,[     11.124      379.14],[     29.941      512.21],[     537.39      359.97],[     539.95      505.68],[     1061.1      374.56],[     1049.2      506.67],[     537.53      96.999],[     535.69      188.83],[     156.16      229.56],[     929.35      221.34]
10001.233333333334,300,[      10.42       379.1],[     28.891      513.71],[     538.82      360.03],[     541.59      506.57],[     1062.1      373.99],[     1050.9      507.19],[     538.22      95.414],[     536.86      187.07],[     154.86      229.29],[        931      220.24]
10334.455555555556,310,[     10.724      379.46],[     29.315      513.91],[     538.79      360.36],[     541.59       506.8],[     1062.4      374.43],[     1050.9      507.52],[      538.2      95.716],[     536.79      187.55],[     155.27       229.3],[     930.91      220.33]
10668.08888888889,320,[     10.996      379.65],[     29.513      513.96],[     538.63      360.46],[     541.45      506.76],[       1062      374.53],[     1050.7      507.46],[     538.16      95.799],[     536.62      187.85],[     155.41      229.47],[     930.99      220.39]
11001.377777777778,330,[      11.16      379.92],[     29.694      514.13],[     538.79      360.61],[      541.6      506.81],[     1062.2      374.63],[     1050.9      507.45],[     538.24       96.05],[     536.79      188.15],[     155.42      229.77],[     931.09      220.61]
11334.822222222221,340,[     10.969      379.75],[      29.59      513.97],[     539.04      360.57],[     541.84      506.82],[     1062.1      374.66],[     1050.7      507.54],[     538.45      95.936],[     537.06      188.01],[     155.46      229.48],[     930.97      220.45]
11668.322222222223,350,[     11.194      379.79],[     29.936      513.82],[     539.09      360.44],[      541.9      506.56],[     1061.7      374.49],[     1050.2       507.2],[     538.41      95.813],[     537.11      188.05],[      155.7      229.14],[     930.43         220]
12001.766666666666,360,[     10.962      379.68],[     29.661      513.75],[     539.02      360.39],[     541.81      506.53],[       1062      374.43],[     1050.5      507.17],[     538.29      95.887],[     537.06      187.96],[     155.39      229.32],[     930.63      220.23]
12334.944444444445,370,[     10.826       379.5],[     29.559      513.67],[     538.87      360.25],[      541.7      506.52],[     1062.2       374.4],[     1050.7      507.24],[     538.21       95.35],[     536.85      187.72],[     155.45      228.74],[     930.71      219.71]
12668.544444444444,380,[     10.592      379.59],[     29.225      513.91],[     538.78      360.38],[      541.6      506.75],[     1062.4       374.5],[     1050.9      507.48],[     538.12      95.287],[     536.77      187.75],[     155.06      228.85],[     930.85      219.82]
13001.577777777778,390,[     10.619      379.49],[      29.26      513.87],[     538.96      360.24],[      541.8      506.67],[     1062.4      374.37],[       1051      507.39],[      538.3      95.053],[     536.92      187.57],[     155.18       228.7],[     930.97      219.61]
13335.055555555557,400,[     10.753      379.53],[     29.438      513.88],[     538.97      360.28],[     541.82       506.7],[     1062.3       374.4],[     1050.8      507.42],[     538.31      95.204],[     536.94      187.63],[     155.37      228.73],[     930.71      219.67]
13668.366666666667,410,[     10.483      379.46],[     29.122      513.89],[     539.02      360.18],[     541.85      506.66],[     1062.4      374.25],[       1051      507.31],[      538.3      95.065],[        537       187.4],[     155.03      228.75],[     930.95       219.6]
14001.877777777778,420,[     10.713      379.63],[      29.44      513.81],[     538.73      360.35],[     541.54      506.62],[     1061.8      374.45],[     1050.2       507.3],[     537.98      95.502],[     536.74       187.8],[     155.18      228.84],[      930.2      219.79]
14335.022222222224,430,[     10.998      379.88],[     29.691      513.91],[     538.82       360.6],[     541.61      506.74],[     1061.7       374.7],[     1050.1      507.44],[      538.3      95.737],[     536.85      188.23],[     155.53      229.07],[     930.48      220.05]
14668.433333333334,440,[     11.317      380.05],[      29.94      514.04],[     538.81      360.68],[     541.59      506.79],[     1061.6      374.69],[       1050       507.4],[     538.22        95.7],[     536.87      188.37],[     155.49      229.06],[     930.35      219.96]
15001.844444444447,450,[     11.214      380.03],[     29.894      514.05],[     538.75      360.69],[     541.55      506.85],[     1061.6      374.77],[       1050      507.53],[     538.24      95.756],[     536.79      188.31],[     155.64      229.01],[     930.33      219.97]
15335.466666666667,460,[      11.18      379.72],[     29.841      513.83],[     538.72      360.38],[     541.54      506.66],[     1061.8      374.53],[     1050.3      507.37],[     538.35      95.083],[     536.72      187.87],[     155.76      228.37],[     930.69      219.34]
15668.644444444444,470,[     11.279      379.74],[     29.962      513.81],[     538.68      360.37],[      541.5      506.62],[     1061.7      374.51],[     1050.1      507.31],[     538.28      95.177],[     536.68      187.88],[     155.83       228.4],[     930.51      219.35]
16002.122222222222,480,[     10.551      379.86],[     29.205      514.15],[     538.67      360.55],[     541.47      506.97],[     1062.2      374.67],[     1050.7      507.62],[      538.1      95.243],[     536.69       187.8],[     155.03      228.71],[     930.85      219.65]
16335.455555555554,490,[     10.368      379.67],[     29.016      514.04],[     538.61      360.21],[     541.46      506.72],[     1062.5       374.3],[       1051       507.3],[     537.91      94.608],[     536.58      187.43],[     154.77      228.27],[     930.95      219.05]
16669.066666666666,500,[     10.525      379.55],[     29.115      514.01],[     538.88      360.18],[     541.71      506.73],[     1062.6      374.25],[     1051.1      507.35],[     538.29       94.65],[     536.87      187.32],[     154.98      228.39],[     931.24       219.2]
