Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     199.51      413.55],[     211.81      546.52],[     696.77      388.03],[     699.22      524.92],[     1179.2      384.46],[     1168.3      511.04],[     651.83      170.93],[     698.08      223.97],[     277.23      310.39],[     1014.9      285.75]
333.6666666666667,10,[      199.2      413.68],[     211.49      546.72],[     696.69      388.16],[     699.13      525.09],[     1179.3      384.58],[     1168.5      511.21],[     651.73      170.91],[        698         224],[     276.92      310.42],[     1015.1      285.76]
667.3333333333334,20,[     199.03      413.62],[     211.33      546.68],[     696.62      388.11],[     699.06      525.06],[     1179.3      384.53],[     1168.4      511.18],[     651.56      170.95],[     697.94      223.93],[     276.68      310.47],[     1014.9      285.81]
1001.0000000000001,30,[     199.11      413.41],[     211.42      546.53],[     696.84      387.88],[     699.28      524.88],[     1179.5      384.26],[     1168.6      510.96],[     651.72      170.69],[     698.17      223.64],[     276.74      310.25],[       1015      285.57]
1334.6666666666667,40,[      200.6      413.41],[     212.74      546.42],[      696.7      387.96],[     699.14      524.92],[     1179.2      384.38],[     1168.2      511.04],[     651.76      170.97],[     698.02      224.04],[     277.74      310.41],[     1014.7      285.93]
1668.3333333333335,50,[     200.05      413.53],[     212.23      546.58],[     696.68      388.07],[     699.11      525.04],[     1179.4      384.48],[     1168.5      511.15],[     651.72      170.98],[     698.01      224.03],[     277.34      310.49],[     1014.9      285.97]
2002.0000000000002,60,[     199.95      413.53],[      212.1      546.64],[      696.7      388.09],[     699.12      525.13],[     1179.6       384.5],[     1168.6      511.24],[     651.65      170.95],[     698.03      224.02],[     277.14      310.53],[       1015      286.03]
2335.6666666666665,70,[     199.79      413.52],[     212.02      546.64],[     696.85      388.06],[     699.29       525.1],[     1179.8      384.49],[     1168.8      511.21],[     651.77      170.94],[     698.17      223.92],[     277.17      310.48],[     1015.1      285.94]
2669.3333333333335,80,[     198.24       413.8],[     210.59       546.9],[     696.72      388.12],[     699.15      525.14],[     1179.8      384.39],[     1168.8      511.08],[     651.55      170.84],[     698.08      223.87],[     276.02      310.66],[     1015.2      285.82]
3003.0,90,[     197.98      413.91],[     210.29      547.05],[     696.54      388.17],[     698.96      525.22],[     1179.7      384.37],[     1168.8      511.08],[     651.34      170.74],[     697.92      223.89],[     275.63      310.71],[     1015.2       285.8]
3336.666666666667,100,[     197.91      414.08],[     210.23       547.2],[     696.54      388.31],[     698.95      525.35],[     1179.7      384.47],[     1168.8      511.19],[     651.45      170.87],[     697.92      224.07],[     275.72      310.88],[     1015.2      285.95]
