Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     168.97      432.48],[      180.7      567.21],[     672.53      405.54],[     674.75      546.43],[       1166      402.21],[     1153.8      531.77],[     626.89      182.19],[     674.09      237.23],[     245.42      326.97],[     1001.3      302.08]
333.6666666666667,10,[     168.78      432.33],[     180.56      567.07],[     672.45      405.46],[     674.68      546.29],[     1165.9      402.14],[     1153.8      531.63],[     626.76      182.24],[        674      237.26],[     245.34      326.87],[     1001.1      302.01]
667.3333333333334,20,[     169.01      432.27],[     180.67      567.01],[      672.3      405.28],[     674.53      546.23],[     1165.9      401.95],[     1153.7      531.57],[     626.73       181.9],[     673.85      236.88],[     245.33      326.76],[     1001.3      301.85]
1001.0000000000001,30,[     168.83      432.26],[     180.52      567.04],[     672.44      405.21],[     674.67      546.22],[     1166.1      401.86],[     1153.9      531.53],[     626.85      181.73],[     673.99      236.73],[     245.26      326.67],[     1001.6      301.71]
1334.6666666666667,40,[     168.99      432.43],[     180.71      567.16],[     672.44      405.46],[     674.67      546.38],[     1165.9      402.12],[     1153.8      531.73],[     626.84      182.14],[     673.99      237.09],[     245.46      326.95],[     1001.3      302.05]
1668.3333333333335,50,[     168.86      432.72],[     180.61      567.39],[     672.27      405.68],[      674.5      546.55],[     1165.7       402.3],[     1153.5      531.84],[     626.65      182.39],[     673.83      237.38],[     245.33      327.15],[       1001       302.2]
2002.0000000000002,60,[     169.06      432.57],[     180.76       567.3],[     672.37      405.56],[     674.61      546.49],[     1165.9      402.22],[     1153.8      531.81],[     626.75       182.2],[     673.92      237.21],[     245.43      327.01],[     1001.3      302.09]
2335.6666666666665,70,[     168.98      432.22],[     180.68      566.98],[     672.46      405.25],[      674.7       546.2],[       1166      401.92],[     1153.8      531.55],[     626.86      181.89],[     674.01      236.88],[     245.41       326.7],[     1001.3       301.8]
2669.3333333333335,80,[     169.16      432.09],[     180.84      566.86],[     672.48      405.16],[     674.72      546.08],[     1166.1      401.84],[       1154      531.44],[     626.84      181.79],[     674.03      236.81],[     245.49      326.55],[     1001.4      301.67]
3003.0,90,[     169.02      432.26],[     180.72      566.99],[     672.36      405.36],[     674.58      546.22],[       1166      402.05],[     1153.9      531.59],[     626.71      182.06],[     673.91      237.09],[     245.36      326.75],[     1001.3      301.91]
3336.666666666667,100,[     168.95       432.4],[     180.71      567.12],[     672.43      405.53],[     674.66      546.35],[     1165.9      402.22],[     1153.8      531.71],[     626.71      182.31],[     673.97      237.35],[      245.4      326.94],[       1001      302.09]
3670.3333333333335,110,[     168.84      432.45],[     180.65      567.17],[     672.57      405.62],[      674.8       546.4],[     1166.1      402.29],[       1154      531.75],[     626.83      182.51],[     674.13      237.49],[     245.41      327.08],[     1001.1      302.26]
4004.0000000000005,120,[     167.77      431.73],[     180.02      566.69],[     673.35      405.61],[     675.59      545.91],[     1166.5      402.34],[     1154.6      531.37],[     627.11       183.2],[     674.89      238.22],[     245.24      326.61],[       1000      302.04]
4337.666666666667,130,[     166.54       431.5],[     178.99      567.27],[     674.67      405.77],[     676.92      545.88],[     1167.8      401.88],[     1156.1       531.3],[     628.37      184.01],[     676.24      238.03],[      245.1      326.56],[     999.34      301.54]
4671.333333333333,140,[     166.16      431.63],[     178.48      567.57],[     674.59      405.91],[      676.8         546],[     1167.7      401.74],[       1156       531.4],[      628.5      184.16],[     676.22      237.91],[     244.71      326.74],[     999.13      301.53]
5005.0,150,[     166.19      431.73],[     178.46       567.8],[     674.64      405.97],[     676.86      546.11],[     1168.1      401.65],[     1156.4      531.48],[     628.63      184.31],[     676.28      237.78],[     244.75      326.89],[     999.22      301.56]
5338.666666666667,160,[     166.12      431.75],[     178.39       567.8],[      674.6      405.99],[     676.81      546.09],[     1168.1      401.65],[     1156.3      531.47],[     628.58      184.35],[     676.24      237.82],[     244.67      326.93],[     999.19      301.59]
5672.333333333333,170,[     166.19      431.56],[      178.5      567.56],[     674.74      405.86],[     676.96      545.94],[     1167.8      401.61],[     1156.1      531.36],[     628.66      184.22],[     676.37      237.75],[     244.81      326.72],[     999.02      301.44]
6006.0,180,[     166.13      431.42],[     178.43      567.43],[     674.65      405.75],[     676.87      545.84],[     1167.8      401.54],[     1156.1      531.26],[     628.44      184.15],[     676.28      237.65],[     244.57      326.66],[     998.95      301.42]
