Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     140.74      444.52],[      149.2      582.68],[     638.82      444.37],[     637.07       585.4],[     1139.2      459.24],[     1131.4      594.13],[     634.03      223.49],[     640.72      271.66],[     254.07      353.27],[     1017.9      357.79]
333.6666666666667,10,[     140.58      444.74],[     149.03      582.89],[     638.63      444.48],[      636.9      585.51],[     1138.9      459.28],[     1131.1      594.15],[     633.89      223.35],[     640.52       271.8],[     253.89      353.22],[     1017.7      357.61]
667.3333333333334,20,[     140.36      444.74],[     148.72      582.79],[     638.49      444.49],[     636.71      585.43],[     1138.6       459.3],[     1130.9      594.05],[     633.57      223.17],[     640.43      271.98],[     253.18      353.15],[     1017.6      357.55]
1001.0000000000001,30,[     140.89      444.18],[     149.35      582.16],[     638.51      444.41],[     636.66      585.29],[       1139      459.59],[     1131.1      594.32],[     634.26      223.97],[     640.46      271.78],[     254.54      353.26],[     1018.4      358.24]
1334.6666666666667,40,[     140.41      444.41],[     148.83      582.66],[     638.52      444.23],[     636.78      585.35],[     1138.7      459.06],[     1130.9      594.09],[      633.8      222.99],[     640.41      271.51],[     253.72       352.9],[     1017.4      357.39]
1668.3333333333335,50,[     140.42      444.73],[     148.83      582.83],[     638.46      444.51],[      636.7      585.47],[     1138.5      459.27],[     1130.8      594.15],[     633.74      223.43],[     640.37      271.93],[     253.67      353.34],[     1017.4      357.78]
2002.0000000000002,60,[     140.24      444.48],[     148.67      582.76],[     638.52      444.37],[     636.77       585.5],[     1138.9       459.2],[     1131.1      594.23],[     633.74       223.5],[      640.4       271.6],[     253.67      353.43],[     1017.5      357.94]
2335.6666666666665,70,[     140.68      444.29],[     149.13      582.24],[     638.12      444.45],[      636.3      585.31],[     1138.5      459.61],[     1130.7      594.28],[     633.59      224.09],[     640.04      271.93],[     254.02      353.41],[     1017.6      358.29]
2669.3333333333335,80,[     140.52       444.7],[     148.97       582.8],[     638.53      444.43],[      636.8      585.44],[     1138.6      459.23],[     1130.8      594.12],[     633.76      223.25],[     640.43      271.86],[      253.8      353.12],[     1017.3      357.54]
3003.0,90,[     140.37      444.52],[     148.83      582.72],[     638.58      444.21],[     636.86       585.3],[     1138.7      458.99],[     1130.9      593.96],[     633.91      222.84],[     640.47      271.48],[      253.8      352.73],[     1017.5       357.1]
3336.666666666667,100,[     140.39      444.39],[     148.78      582.69],[     638.53       444.2],[      636.8      585.37],[     1138.9      459.04],[     1131.2      594.05],[     633.78      222.83],[     640.42      271.37],[     253.58       352.8],[     1017.8      357.24]
