Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[      21.42      664.39],[     42.373      790.79],[     542.75      632.24],[     549.11      781.28],[       1062       656.7],[     1060.9      780.72],[     551.91      291.01],[     537.75      467.02],[     172.31      423.18],[     957.13      409.81]
332.9555555555556,10,[     20.975      664.35],[     42.128       790.8],[      542.9      632.09],[     549.24      781.28],[       1062      656.47],[     1060.8      780.63],[      551.9      290.98],[     537.94      466.81],[     172.17      422.97],[     956.55      409.61]
666.5111111111112,20,[     21.018      664.12],[     42.162      790.46],[      542.5       631.9],[     548.86      781.13],[       1062      656.48],[     1060.4       780.6],[     551.73      290.93],[     537.45      467.02],[     172.73      422.68],[     955.87      409.38]
999.7222222222223,30,[     20.938      664.14],[     42.021      790.46],[     542.63      631.98],[     548.95      781.15],[       1062      656.54],[     1060.1      780.62],[     551.76      291.07],[     537.63      467.08],[     172.38      422.84],[     955.87      409.52]
1333.3000000000002,40,[     21.098      663.88],[     42.213      790.07],[     542.45      631.84],[     548.77      780.96],[       1062      656.59],[     1059.8      780.58],[      551.7      290.79],[     537.41      467.12],[     172.72      422.25],[     955.52      409.13]
1666.6444444444446,50,[     21.078      663.93],[     41.995      790.53],[      542.4      631.37],[     548.84      780.67],[       1062      655.64],[     1060.7      779.88],[     551.68      290.54],[     537.29      466.12],[     172.38      423.07],[     956.67      409.19]
2000.6777777777777,60,[     21.352      664.18],[     42.124      790.76],[     542.56      631.66],[     549.01      780.87],[       1062       655.9],[     1061.1      780.12],[     551.93      291.02],[     537.44      466.49],[     172.55       423.8],[     957.24      409.83]
2333.3777777777777,70,[     20.982      663.58],[     41.825      790.75],[     542.77      630.99],[     549.31      780.85],[       1062      655.29],[       1062       780.1],[     552.28      289.47],[     537.52      465.41],[     172.91      422.68],[      958.2      408.75]
2668.1666666666665,80,[     20.631       663.9],[     41.533      791.33],[     542.81      631.09],[     549.42      781.27],[       1062      655.25],[       1062      780.37],[      552.3      289.03],[     537.48      465.46],[     172.94      422.63],[     958.28      408.55]
3000.166666666667,90,[     21.143      664.17],[     42.026      790.66],[     542.29       631.6],[     548.73       780.9],[       1062      656.02],[     1061.3      780.16],[     551.56      290.73],[     537.15      466.61],[     172.46      423.15],[     956.86      409.28]
