Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     92.551      448.73],[     106.45      584.12],[     620.46      448.98],[     616.92      599.74],[       1155      484.73],[     1151.7      626.92],[     674.45      183.42],[     623.64      270.63],[     286.44      310.79],[     1084.6      330.83]
333.6666666666667,10,[     92.342       448.7],[     106.29      584.07],[     620.23         449],[      616.7      599.69],[     1154.9      484.72],[     1151.5      626.86],[     674.36      183.39],[     623.39      270.69],[     286.46      310.83],[     1084.5      330.81]
667.3333333333334,20,[     92.312       448.7],[     106.24      583.98],[     620.36      448.85],[      616.8      599.68],[     1154.9      484.63],[     1151.7      626.85],[     674.37      183.33],[     623.59       270.5],[     286.14      310.67],[     1084.7       330.8]
1001.0000000000001,30,[     92.182       448.7],[     106.02      584.11],[     620.45      448.92],[     616.86      599.81],[     1155.2      484.69],[       1152      627.01],[     674.44      183.35],[      623.7      270.47],[     286.04      310.82],[     1084.9      330.96]
1334.6666666666667,40,[       92.3      448.65],[     106.06      584.41],[     620.28      449.13],[     616.74      599.84],[     1155.2      484.67],[     1151.8      626.92],[     673.95      183.38],[     623.45      270.58],[     285.85      311.06],[     1084.2      330.83]
1668.3333333333335,50,[     92.309      448.63],[     106.02      584.57],[      620.3      449.15],[     616.79      599.87],[     1155.4      484.59],[     1151.8      626.87],[     673.63      183.49],[     623.43      270.52],[     285.62      311.24],[     1083.8      330.86]
2002.0000000000002,60,[     92.368      448.75],[     106.08      584.43],[     620.42      449.12],[     616.87      599.92],[     1155.3      484.67],[       1152      626.98],[        674      183.57],[     623.63      270.57],[      285.8      311.22],[     1084.3      331.03]
2335.6666666666665,70,[     92.274      448.68],[     106.01      584.35],[     620.51      449.04],[     616.95      599.86],[     1155.6       484.6],[     1152.2      626.92],[     674.12      183.42],[     623.72      270.47],[     285.77       311.1],[     1084.6      330.93]
2669.3333333333335,80,[     92.197      448.64],[     105.92      584.35],[     620.24      449.06],[     616.68      599.87],[     1155.3      484.63],[     1151.9      626.96],[      673.9      183.53],[     623.44      270.47],[     285.75       311.2],[     1084.2      331.01]
3003.0,90,[      92.33      448.61],[     106.07       584.3],[      620.3      448.97],[     616.76      599.75],[     1155.2      484.51],[     1151.8      626.79],[     673.86      183.41],[     623.49      270.46],[      285.7      311.04],[     1084.2       330.8]
3336.666666666667,100,[     92.179      448.72],[     105.97      584.22],[     620.32      448.99],[     616.76      599.82],[     1155.1      484.65],[     1151.8      626.92],[        674      183.39],[     623.54      270.51],[     285.71      310.95],[     1084.4       330.9]
3670.3333333333335,110,[     92.348       448.7],[     106.23      584.14],[      620.5      448.93],[     616.94      599.75],[     1155.3      484.65],[       1152       626.9],[     674.36       183.2],[     623.72      270.48],[     286.01      310.71],[     1084.8      330.73]
4004.0000000000005,120,[      92.43      448.58],[     106.63      583.64],[     620.25         449],[     616.67       599.6],[     1154.7      485.04],[     1151.3       627.1],[     675.37      183.49],[     623.42      270.78],[     287.73      310.61],[     1085.4      331.06]
4337.666666666667,130,[     90.382      447.75],[     104.39      583.61],[     618.42      448.34],[     614.63      599.71],[     1154.1      484.32],[     1150.9      627.15],[     674.62      182.77],[     621.56      270.95],[     286.51      310.33],[     1085.4      331.56]
4671.333333333333,140,[      92.87      447.94],[     106.77      583.46],[     620.51      448.89],[     616.85      599.45],[     1155.1      484.86],[     1151.7      627.12],[     675.76      183.38],[     623.71      270.45],[     288.43      310.73],[     1085.6      331.22]
5005.0,150,[     92.514      447.82],[     106.36      583.47],[     620.67      448.68],[     616.97       599.5],[     1155.6       484.7],[     1152.2      627.19],[     675.75      183.45],[     623.98      270.17],[     287.83         311],[     1085.9      331.59]
5338.666666666667,160,[     92.224      447.95],[     105.75      583.94],[     620.91      448.63],[     617.22      599.61],[       1156      484.32],[     1152.7      626.92],[      674.5      183.26],[     624.28      269.86],[     285.59      311.04],[     1085.1      331.29]
5672.333333333333,170,[      92.81      448.13],[     106.85      583.37],[     620.39      448.82],[     616.78      599.25],[     1154.6      484.71],[     1151.3      626.76],[     675.51      183.54],[     623.59      270.57],[     288.29      310.83],[     1085.2      331.17]
6006.0,180,[     93.305      448.31],[     107.72       582.9],[     620.49      448.93],[      616.9       599.1],[     1154.2      485.06],[     1150.9      626.84],[     676.84       183.6],[     623.65      270.95],[     290.39      310.59],[     1086.2      331.21]
6339.666666666667,190,[     93.236      448.34],[     107.62      582.98],[     620.54      448.94],[     616.97      599.17],[     1154.3      485.04],[     1151.1      626.89],[     676.73      183.62],[     623.68      270.88],[     290.35      310.71],[       1086      331.29]
6673.333333333334,200,[     93.356      448.37],[      107.7      583.13],[      620.7      448.92],[     617.17      599.19],[     1154.4      484.96],[     1151.2      626.79],[     676.39      183.62],[      623.8      270.82],[     289.98       310.7],[     1085.6      331.18]
7007.000000000001,210,[      93.18      448.53],[     107.61      583.47],[     621.01      449.08],[     617.49      599.45],[     1155.1      485.14],[     1151.8      627.05],[      676.7      183.76],[     624.07       270.9],[     290.05      310.92],[     1086.1       331.4]
7340.666666666667,220,[     93.106      448.23],[     107.39      583.39],[     621.26      448.85],[     617.68      599.41],[     1155.7         485],[     1152.5      627.12],[     676.96      183.68],[     624.41      270.56],[     289.89      310.86],[     1086.6      331.48]
7674.333333333334,230,[     92.713      447.93],[     106.51      583.75],[     621.28      448.68],[     617.65      599.56],[       1156      484.68],[     1152.8      627.18],[     675.81       183.8],[     624.54      270.05],[     288.03      311.18],[     1085.6      331.75]
8008.000000000001,240,[     92.709      447.99],[      106.5      583.95],[     621.29      448.75],[     617.66      599.69],[     1155.7      484.82],[     1152.4      627.29],[     675.43      183.86],[     624.53      270.07],[     287.39      310.99],[     1085.1      331.69]
8341.666666666666,250,[       92.2      448.24],[     106.05       584.2],[     620.99      448.78],[     617.41      599.75],[     1155.7      484.69],[     1152.3       627.1],[     674.53      183.75],[      624.2      270.17],[     286.15      311.08],[     1084.5      331.48]
8675.333333333334,260,[     92.665      448.14],[     106.68      584.13],[      621.4      448.92],[     617.84      599.69],[     1155.9      484.93],[     1152.4      627.17],[     675.34      183.62],[      624.5      270.35],[      287.3      310.75],[       1085       331.3]
9009.0,270,[     92.879      448.61],[     107.12      584.51],[     621.12      449.38],[     617.64      599.92],[     1155.2      485.41],[     1151.4      627.32],[      674.9      183.86],[     624.09         271],[     287.23      310.73],[     1084.3      331.18]
9342.666666666666,280,[     92.849      448.59],[     106.93      584.73],[     621.36      449.29],[     617.89      599.93],[     1155.7      485.11],[     1151.9      627.14],[     674.53      183.73],[     624.35      270.76],[     286.52      310.83],[     1084.1      331.03]
9676.333333333334,290,[     92.656      448.43],[      106.8      584.44],[     621.25      449.08],[     617.71      599.66],[     1155.6      484.87],[     1151.8      626.87],[     674.77      183.36],[     624.34      270.67],[     286.23      310.55],[     1084.6       330.8]
10010.0,300,[     92.752       448.4],[     106.87      584.27],[     621.41      448.89],[     617.87      599.57],[     1155.6      484.77],[     1151.9       626.8],[     674.64      183.24],[     624.53      270.56],[     285.96      310.37],[     1084.5      330.75]
10343.666666666668,310,[     92.431      448.48],[     106.61      584.53],[     621.06      449.26],[     617.55      599.83],[     1155.2      485.24],[     1151.4      627.19],[     674.42      183.28],[     624.09      270.92],[     286.07      310.34],[       1084      330.82]
10677.333333333334,320,[     92.751      448.47],[     107.24      584.17],[     620.67      449.32],[     617.22      599.67],[     1154.2      485.62],[     1150.3      627.22],[     674.65      183.33],[     623.56      271.19],[      287.2      309.82],[     1083.7      330.55]
11011.000000000002,330,[     92.594      448.66],[     107.13      584.37],[     620.64      449.36],[     617.24      599.66],[     1154.3      485.42],[     1150.4      626.99],[     674.27      183.33],[     623.48       271.3],[     286.79      310.03],[     1083.4      330.43]
11344.666666666666,340,[     93.044      448.47],[     107.16      584.27],[     621.27      449.15],[     617.76      599.64],[     1155.4      485.04],[     1151.7      626.94],[     674.78      183.67],[     624.33      270.88],[     286.77      310.69],[     1084.4         331]
11678.333333333334,350,[     92.523      449.07],[     106.38      585.14],[     620.92      449.23],[     617.51      600.19],[     1155.6      485.05],[     1151.8      627.17],[     672.59      182.86],[     623.99      270.81],[     283.74      310.32],[     1082.7      330.19]
