Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     116.79      474.03],[     125.51      622.29],[     649.23      474.44],[     647.23      625.53],[     1187.1      489.84],[     1178.2       634.7],[     644.51      237.01],[     651.34      289.19],[     237.97      375.55],[     1055.7      380.63]
333.6666666666667,10,[      116.7      473.63],[     125.31      622.17],[     649.23      474.36],[     647.17      625.56],[     1187.1       489.8],[     1178.3      634.93],[     644.79      237.27],[     651.39      288.72],[     237.97      375.73],[       1056      381.03]
667.3333333333334,20,[     116.76      473.61],[     125.38      622.01],[     649.26      474.43],[     647.14      625.52],[       1187      490.03],[     1178.3      634.91],[     645.09      237.13],[     651.46      288.82],[     238.16      375.41],[     1056.7      380.78]
1001.0000000000001,30,[     116.96      473.91],[      125.7      622.07],[     649.32      474.37],[     647.26      625.35],[     1187.2      489.88],[     1178.3      634.54],[     644.84      236.91],[     651.48      289.06],[     238.23      375.27],[     1056.3      380.41]
1334.6666666666667,40,[     117.14      473.81],[      125.8      621.99],[     649.23      474.55],[     647.12      625.51],[     1187.6       490.2],[     1178.6      634.91],[     644.66       237.5],[     651.42       289.3],[     238.09      375.86],[     1056.5      381.35]
1668.3333333333335,50,[     117.66       473.7],[     126.38      621.58],[     649.32      474.28],[     647.22      624.83],[     1186.5      489.52],[     1177.6         634],[      644.7      238.74],[     651.52      289.32],[     238.74      376.81],[     1055.5      381.93]
2002.0000000000002,60,[     117.42      473.44],[      126.1      621.48],[     649.56      474.14],[     647.46      624.96],[     1187.3      489.73],[     1178.5      634.31],[     645.03      237.15],[     651.74      289.01],[     238.51      375.45],[     1056.5      380.84]
2335.6666666666665,70,[     117.51      473.38],[     126.12      621.63],[     649.48      474.24],[     647.36      625.17],[     1187.2      489.82],[     1178.3      634.65],[     645.08      237.49],[     651.67      288.91],[     238.56      375.75],[     1056.4      381.27]
2669.3333333333335,80,[     117.56      473.53],[     126.15      621.67],[     649.28      474.33],[     647.15      625.17],[     1186.9      489.87],[     1178.1      634.57],[     644.87      237.65],[     651.49      289.12],[      238.5       375.9],[     1056.2      381.38]
3003.0,90,[     117.91      473.44],[     126.61      621.42],[     649.59      473.91],[     647.53      624.56],[     1186.8      489.03],[       1178      633.54],[     644.71      238.29],[     651.77       288.9],[     238.78      376.54],[     1055.5      381.47]
3336.666666666667,100,[     117.68      473.62],[     126.32      621.65],[     649.57      474.31],[     647.47      625.14],[     1187.4      489.94],[     1178.5      634.49],[     644.97      237.13],[     651.76      289.23],[     238.53      375.43],[     1056.6      380.85]
3670.3333333333335,110,[     117.58      473.49],[     126.18      621.65],[     649.36      474.23],[     647.28      625.14],[     1187.1      489.77],[     1178.2      634.52],[     644.82      237.22],[     651.52      289.09],[     238.52      375.55],[     1056.1      380.97]
4004.0000000000005,120,[     117.43      473.49],[     126.04      621.79],[     649.65      474.31],[     647.54      625.27],[     1187.2      489.82],[     1178.4      634.69],[      645.3      237.44],[     651.83      288.92],[     238.67      375.75],[     1056.5      381.15]
4337.666666666667,130,[     117.89      473.74],[     126.42      621.68],[     649.36      474.31],[     647.29      624.94],[     1186.8      489.56],[       1178      634.12],[     644.76      237.96],[     651.54      289.51],[     238.63      376.42],[       1056      381.57]
4671.333333333333,140,[     117.41      474.37],[     126.18      622.22],[     650.08      474.56],[     648.07       625.3],[     1187.4      489.84],[     1178.6      634.25],[     645.32       236.8],[     652.25      289.66],[     238.55       375.3],[     1056.5      380.12]
5005.0,150,[     117.46      473.79],[     126.18         622],[     650.29      474.19],[     648.28      625.17],[     1187.3      489.43],[     1178.6      634.23],[     645.53       236.9],[     652.43      288.89],[     238.76      375.43],[     1056.3      380.32]
5338.666666666667,160,[     118.12      474.11],[     126.75      621.92],[     650.11       474.4],[     648.12      624.96],[     1186.7      489.43],[     1178.1      633.87],[     645.16      237.77],[     652.25      289.75],[     238.96       376.3],[     1055.8      381.03]
5672.333333333333,170,[      117.4      474.25],[     126.05      622.29],[     650.06      474.42],[     648.07      625.31],[     1187.2      489.59],[     1178.6      634.17],[     645.01      236.49],[     652.22      289.44],[      238.1      375.26],[     1056.2      379.97]
6006.0,180,[     117.43       474.2],[     126.11      622.27],[     650.54      474.37],[     648.54      625.26],[     1187.4      489.48],[     1178.8      634.13],[     645.69      236.55],[     652.71      289.27],[     238.52      375.29],[     1056.7      379.94]
6339.666666666667,190,[     118.14      474.03],[        127      621.84],[     650.97      473.82],[      649.1      624.39],[     1186.7      488.43],[     1178.2      632.85],[      645.6       237.5],[     653.04      289.01],[     239.38      376.09],[     1055.4       380.1]
6673.333333333334,200,[     117.42      474.39],[     126.03      622.37],[     650.27      474.61],[     648.25      625.44],[     1187.3      489.78],[     1178.7      634.34],[     645.31      236.49],[     652.46      289.71],[     238.11      375.29],[     1056.5      380.06]
7007.000000000001,210,[     117.52      473.97],[     126.16      622.09],[     650.37      474.21],[     648.38      625.11],[     1187.1      489.29],[     1178.5      633.99],[     645.48      236.52],[     652.52      289.13],[     238.55      375.25],[     1056.2      379.92]
7340.666666666667,220,[     117.37      474.14],[     125.96      622.26],[      650.2      474.33],[     648.19      625.26],[     1187.3      489.44],[     1178.7       634.1],[     645.32      236.29],[     652.38      289.26],[     238.17      375.15],[     1056.5      379.83]
