Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[      63.14       556.7],[     81.076      672.43],[     541.38      532.68],[     545.93       668.3],[     1037.9      556.96],[       1026      672.82],[     551.46      222.46],[     537.82      382.07],[      198.9      339.39],[      926.6      332.75]
333.4111111111111,10,[     63.257      556.73],[     81.176      672.47],[     541.48      532.79],[     546.02       668.4],[     1038.2      557.11],[     1026.3      672.98],[      551.6      222.67],[     537.92      382.21],[     199.04      339.63],[     926.88      333.08]
666.7888888888889,20,[     63.444      556.71],[     81.371      672.38],[     541.47      532.73],[     546.03      668.29],[     1038.1      557.08],[     1026.2      672.86],[      551.6      222.56],[      537.9      382.23],[     199.19      339.47],[      926.9      332.89]
1000.288888888889,30,[       63.3      556.79],[     81.257      672.47],[      541.4      532.81],[     545.95       668.4],[     1038.3      557.19],[     1026.3      672.98],[     551.49      222.56],[     537.82       382.3],[     199.06      339.44],[      926.9      332.91]
1333.6444444444444,40,[     63.417      556.84],[      81.38      672.48],[      541.2      532.66],[      545.8      668.25],[     1038.1      556.94],[     1026.2       672.7],[     551.36      222.43],[     537.59      382.22],[     199.24      339.42],[     926.72       332.7]
1667.0111111111112,50,[     62.701      556.65],[     80.789       672.4],[     541.41      532.46],[     545.97      668.23],[     1039.4      556.77],[     1027.3       672.7],[     551.72      221.76],[     537.83      382.05],[     199.05      338.97],[     927.52      332.43]
2000.4333333333334,60,[     62.856      556.69],[     80.838      672.39],[     541.19      532.51],[     545.75      668.18],[     1038.9      556.77],[     1026.8      672.65],[     551.54      221.98],[     537.63      382.05],[     198.96      339.18],[     927.38      332.56]
2333.6555555555556,70,[     62.918      556.52],[     80.978      672.11],[     541.51      532.65],[        546      668.26],[       1039      557.21],[     1026.8      672.99],[      551.7      221.84],[     537.99      382.21],[     198.88      338.57],[     927.33      332.35]
2667.088888888889,80,[     62.633      556.75],[       80.7      672.41],[     541.21      532.56],[     545.75       668.2],[     1038.9      556.79],[     1026.9      672.63],[     551.62      222.23],[     537.64       382.2],[     199.05      339.48],[     927.41      332.89]
3000.5,90,[     63.232      557.09],[     81.174      672.71],[     541.08      532.78],[     545.69      668.33],[     1037.9      556.94],[     1026.1      672.67],[     551.26      222.32],[     537.48      382.29],[     199.05      339.38],[     926.65      332.46]
