Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     57.853      611.55],[     75.584      727.73],[     539.83      587.35],[     544.12      723.62],[     1039.4      611.48],[       1027      727.85],[     549.68      274.31],[     536.59      435.74],[     192.82      392.29],[     928.01      385.75]
333.32222222222225,10,[     57.907      611.57],[     75.879       727.7],[     539.64      587.25],[     544.06      723.42],[     1038.7      611.34],[     1026.4      727.61],[     549.49      274.66],[     536.28      435.84],[     193.58      392.49],[     927.06      385.73]
666.7222222222222,20,[     58.356      611.63],[     76.187      727.87],[     540.45      587.76],[     544.77      723.91],[     1038.2      611.96],[     1026.1      728.32],[     550.26       275.3],[     537.17      436.19],[     193.73         393],[     927.23      386.53]
1000.0555555555557,30,[     57.625      611.29],[      75.62      727.75],[      540.7      587.45],[     545.04      723.86],[     1038.9      611.74],[     1026.7      728.32],[     550.59      274.92],[     537.38      435.61],[     193.74      392.68],[     927.73      386.26]
1333.5222222222224,40,[     58.148       611.4],[     76.043      727.81],[     540.67      587.54],[     545.02      723.85],[     1038.2      611.71],[     1026.1      728.26],[     550.54      275.25],[     537.36      435.73],[     193.96      392.98],[     927.31      386.46]
1666.8666666666668,50,[     58.891      609.62],[     76.751      725.72],[     540.38      586.01],[     544.65      721.93],[     1037.1      610.24],[       1025      726.47],[     550.12       274.7],[     537.15       434.6],[     194.12      392.05],[     926.34      385.82]
2000.2333333333336,60,[     59.614      609.64],[      77.42       725.8],[     540.67      586.13],[     544.97      722.04],[     1036.9      610.34],[     1024.9      726.63],[      550.5      275.04],[      537.4      434.71],[      194.9      392.34],[     926.24       386.1]
2333.677777777778,70,[      59.77      609.74],[     77.551      725.91],[     540.54      586.09],[     544.87      722.02],[     1036.8      610.23],[     1024.8      726.52],[      550.4       275.1],[     537.23      434.69],[     195.04      392.49],[     926.22      386.11]
2666.988888888889,80,[     59.817      609.83],[     77.542      726.12],[     540.65      586.17],[     544.98      722.19],[     1037.1      610.27],[     1025.2      726.68],[     550.64      275.01],[     537.33      434.68],[      195.2      392.56],[     926.58      386.13]
3000.377777777778,90,[     59.529      609.79],[      77.24      726.11],[     540.69      586.27],[     544.98      722.28],[       1037      610.38],[       1025      726.84],[      550.6      275.08],[     537.43      434.71],[     194.77      392.59],[     926.47      386.29]
3333.8333333333335,100,[     59.991      609.88],[     77.764      726.15],[     540.82      586.29],[     545.14      722.24],[     1036.8      610.39],[     1024.9      726.76],[     550.71      275.31],[     537.52       434.8],[     195.31      392.68],[     926.25      386.29]
3667.1,110,[     59.731      609.87],[     77.668      725.95],[     540.67      586.28],[     545.02      722.13],[     1036.7      610.52],[     1024.7      726.73],[     550.45      275.25],[     537.35      434.99],[     195.26      392.37],[     925.81      386.05]
4000.522222222222,120,[     59.227      610.02],[      77.13      726.18],[     540.51      586.34],[     544.86      722.33],[       1037      610.53],[     1024.9      726.85],[     550.27       275.1],[     537.19      434.96],[     194.74      392.42],[      925.9      386.04]
4333.888888888889,130,[     59.327      610.26],[     77.155      726.45],[     540.32      586.35],[     544.72      722.37],[     1037.2       610.4],[     1025.2      726.73],[     550.25      275.08],[     536.95      435.02],[     194.95      392.75],[     926.24      386.11]
4667.588888888889,140,[     60.212      610.31],[     78.051      726.47],[     540.67      586.43],[      545.1      722.35],[     1037.3      610.53],[     1025.4      726.81],[     550.63      275.29],[     537.26      435.15],[     195.77      392.79],[     926.48      386.16]
5001.222222222223,150,[     59.973      610.31],[     77.941      726.35],[     541.11      586.72],[     545.47      722.57],[     1037.3       611.1],[     1025.2      727.25],[      550.8      275.32],[     537.78      435.48],[     195.44       392.4],[     926.31      386.14]
5334.322222222222,160,[     59.573       610.2],[      77.53      726.24],[     540.73      586.34],[     545.08      722.23],[     1038.4      610.54],[     1026.2      726.75],[     550.77       274.9],[     537.41      435.17],[     195.39      392.39],[     927.32      386.01]
5667.511111111112,170,[     59.739      610.05],[       77.8      726.06],[     540.99         586],[     545.38      721.93],[     1038.7      610.09],[     1026.4       726.3],[     551.07      274.74],[     537.63       434.9],[     195.94      392.31],[     927.39      385.78]
6000.88888888889,180,[      59.68      610.46],[     77.501      726.26],[     539.74      586.79],[     544.04       722.4],[     1036.8      611.01],[     1024.6         727],[     549.51      275.69],[     536.47      435.86],[     194.56       392.8],[     925.61      386.59]
6334.133333333334,190,[     59.535      610.39],[     77.506      726.19],[     540.07      586.55],[     544.43      722.25],[     1036.9      610.71],[     1024.6      726.72],[     549.83      275.08],[     536.75      435.74],[     194.92      392.29],[     925.41      385.94]
6667.588888888889,200,[     59.895      610.14],[     77.713      726.22],[     540.87       586.6],[     545.16      722.53],[     1037.1      610.88],[       1025      727.15],[     550.78      275.22],[      537.6      435.23],[      195.2      392.41],[     926.44      386.26]
7000.9111111111115,210,[     59.529      609.87],[     77.161      726.04],[     540.86      586.51],[     545.05      722.52],[     1037.1      610.76],[       1025      727.19],[     550.93         275],[      537.7      434.96],[     194.58      392.33],[     926.86      386.36]
7334.311111111112,220,[     59.639      610.05],[     77.324       726.2],[     540.92       586.5],[     545.15      722.47],[     1037.1      610.64],[       1025      727.01],[     550.94      275.04],[     537.74      434.98],[     194.74      392.47],[     926.83      386.28]
7667.833333333333,230,[     59.521      610.22],[     77.096      726.49],[     540.86      586.55],[      545.1      722.65],[     1037.5      610.58],[     1025.5      727.08],[     550.92      274.96],[     537.66      434.91],[     194.53       392.7],[      927.3      386.37]
8001.111111111111,240,[     59.775       609.9],[     77.486      725.99],[     540.79      586.35],[     545.02      722.23],[     1036.7      610.47],[     1024.7      726.76],[     550.83      275.14],[      537.6      434.95],[     194.93       392.5],[     926.51       386.3]
8334.433333333332,250,[     59.551       610.3],[     77.216      726.54],[     540.64      586.38],[     544.98      722.52],[     1037.3      610.36],[     1025.3      726.81],[      550.6       274.8],[     537.34       434.8],[     194.74      392.54],[      926.7      385.95]
8667.866666666667,260,[     59.398      610.07],[     77.014      726.21],[     540.53      586.31],[     544.79      722.37],[     1037.5      610.41],[     1025.5      726.78],[     550.54      274.73],[      537.3      434.91],[     194.38      392.48],[     927.07      386.16]
9001.166666666666,270,[      59.39      609.75],[     76.992      725.94],[     540.81      586.26],[     544.95      722.24],[     1037.8      610.45],[     1025.7      726.81],[     550.84      274.74],[     537.72      434.73],[     194.14      392.31],[     927.61      386.28]
9334.722222222223,280,[      59.63      609.69],[     77.292      725.53],[     540.47      586.27],[      544.6      721.99],[     1037.8      610.63],[     1025.5      726.72],[     550.51      274.71],[     537.38      435.09],[      194.3       391.9],[     927.33       386.1]
9668.033333333333,290,[      59.38      609.59],[     77.058       725.5],[     540.42      585.95],[     544.58      721.72],[       1038      610.07],[     1025.7      726.23],[     550.45      274.71],[      537.3      434.75],[     194.29      392.22],[     927.34      386.14]
10001.422222222223,300,[     59.195       610.1],[     76.873      726.17],[     540.19      586.11],[     544.48      722.13],[     1037.3      610.08],[     1025.2       726.4],[     550.24      274.78],[     536.95      434.54],[     194.33      392.43],[     926.84      385.88]
10334.77777777778,310,[     59.634      609.97],[     77.426      725.97],[     540.77      586.35],[     544.99      722.21],[       1037       610.5],[     1024.8      726.71],[      550.6      275.12],[      537.6      434.96],[      194.6      392.37],[     926.46      386.19]
10668.266666666668,320,[     59.511      609.52],[     77.314      725.43],[     541.17       586.2],[     545.28      721.95],[     1037.1       610.5],[     1024.9      726.64],[     551.02         275],[     538.11      434.93],[     194.47      392.09],[     926.76      386.27]
11001.511111111113,330,[     59.979      609.73],[     77.805       725.7],[      541.1      586.29],[      545.3      722.08],[     1037.3      610.57],[       1025      726.73],[     550.93      275.15],[     537.95      434.99],[     194.99      392.23],[     926.67      386.25]
11335.066666666668,340,[     59.843      609.77],[     77.599       725.7],[     540.89      586.28],[     545.07      722.06],[     1037.2      610.51],[       1025      726.64],[      550.8      275.06],[     537.77         435],[     194.71      392.24],[     926.78      386.24]
11668.28888888889,350,[     60.252      609.64],[     77.973      725.47],[     541.13      586.34],[     545.25      721.95],[       1037      610.65],[     1024.8      726.65],[     550.95      275.15],[     538.06       435.2],[     194.79      392.18],[     926.78      386.38]
12002.544444444444,360,[     60.091      609.68],[     77.766      725.52],[     541.14      586.37],[     545.25      722.02],[     1036.8      610.64],[     1024.6      726.68],[     550.98      275.24],[     538.08      435.21],[     194.64       392.4],[     926.79      386.57]
12335.055555555557,370,[     60.094      609.51],[     77.844      725.25],[        541      586.29],[     545.09      721.85],[     1036.6      610.67],[     1024.3       726.6],[     550.83      275.24],[     537.95      435.28],[     194.71      392.17],[     926.42      386.49]
12668.555555555557,380,[     59.877      609.83],[     77.677      725.63],[        541      586.38],[     545.15      722.04],[       1037      610.65],[     1024.7      726.65],[     550.81      275.18],[      537.9      435.25],[     194.69      392.26],[     926.59      386.32]
