Timestamp,FrameIdx,Front top left,Front bottom left,Front top middle,Front bottom middle,Front top right,Front bottom right,Back divider top,Front divider top,Back top left,Back top right
0.0,0,[     33.584      525.53],[     51.942      642.95],[     511.77      495.82],[     517.71      633.08],[     1011.1      516.87],[       1001      634.12],[     521.57      184.61],[     507.12      342.96],[     172.01      306.47],[     899.27      293.84]
333.27777777777777,10,[     33.441      525.98],[     51.711      643.64],[     511.43      495.58],[     517.52      633.01],[     1011.4      516.18],[     1001.6      633.56],[     521.23      184.38],[     506.65      342.48],[      171.9      307.08],[     899.67      293.59]
666.5444444444445,20,[     33.431      525.46],[     51.714      642.95],[      511.2      495.11],[     517.26      632.42],[       1011      515.76],[     1001.2         633],[     520.96      183.98],[     506.44      342.22],[     171.78      306.53],[     899.28      293.14]
1000.1666666666666,30,[      33.46      525.74],[     51.731      643.38],[     511.15       495.1],[     517.27      632.59],[     1011.9      515.67],[     1002.1      633.04],[     521.15      183.36],[     506.34      341.98],[     172.08      306.18],[     900.14      292.57]
1333.5111111111112,40,[     33.451      525.56],[     51.748      642.99],[      510.9      494.97],[     516.99      632.24],[     1011.4      515.49],[     1001.5       632.7],[     520.87      183.74],[      506.1      342.14],[     172.03      306.47],[      899.6      292.91]
1666.6111111111113,50,[     33.403      525.62],[     51.694      643.26],[     511.37      495.05],[     517.49      632.49],[     1011.4      515.57],[     1001.7       632.9],[     521.18      183.79],[     506.56      342.01],[     171.99      306.68],[     899.67      293.01]
2000.1333333333332,60,[     33.562      525.51],[     51.823      643.11],[     511.48      495.02],[      517.6       632.4],[     1011.4      515.56],[     1001.7      632.89],[     521.28      184.13],[     506.67         342],[     172.11      306.98],[     899.77      293.36]
2333.633333333333,70,[     33.471      525.44],[     51.686      643.13],[     511.54      495.04],[     517.66      632.55],[     1011.7       515.7],[       1002      633.14],[     521.42      183.54],[     506.73      341.86],[     171.99      306.31],[     900.13      292.79]
2666.988888888889,80,[      33.56      525.59],[     51.782      643.18],[     511.56      495.27],[     517.64      632.59],[     1011.5      515.86],[     1001.8      633.17],[     521.39      184.71],[     506.76      342.25],[     172.08      307.54],[     900.05      294.05]
3000.2888888888892,90,[     33.435      525.44],[       51.7      642.95],[      511.3      494.99],[      517.4      632.25],[       1011      515.49],[     1001.3      632.75],[     521.11       184.7],[      506.5      342.04],[     172.02       307.5],[      899.5      293.88]
3333.6888888888893,100,[      33.35      525.51],[     51.661      643.03],[     511.35      494.97],[     517.44      632.32],[     1011.4       515.5],[     1001.6      632.77],[     521.19      184.03],[     506.56      342.05],[     171.98      306.85],[     899.69      293.25]
3667.1111111111113,110,[      33.39      525.27],[     51.714      642.72],[      511.1       494.7],[      517.2      631.99],[     1011.4      515.22],[     1001.6      632.43],[     521.03      183.67],[     506.31      341.85],[     172.04      306.44],[     899.68      292.87]
4000.5333333333333,120,[     33.504      525.27],[      51.89      642.65],[      511.1      494.73],[     517.19      631.97],[     1011.4      515.29],[     1001.5      632.45],[     521.01      183.68],[     506.31      341.99],[     172.21      306.28],[     899.41       292.8]
4333.8,130,[     33.392      525.08],[     51.672      642.55],[     511.04      494.59],[     517.15      631.88],[       1011      515.17],[     1001.3      632.36],[      520.9      183.63],[     506.23      341.74],[     171.94      306.39],[     899.41      292.82]
4667.2444444444445,140,[      33.55      525.04],[     51.796      642.57],[     511.35      494.72],[     517.41      631.95],[     1011.2      515.25],[     1001.5      632.52],[     521.23      184.57],[     506.58      341.76],[     172.09      307.34],[     899.72      293.86]
5000.677777777778,150,[     33.338      525.06],[     51.651      642.55],[      511.3      494.79],[     517.37      632.08],[     1011.4      515.49],[     1001.6       632.7],[     521.14      183.99],[     506.52      341.94],[     171.94      306.63],[     899.65      293.31]
